trial,primeCorrect,primeTime,primeDepth,stimDepth,diopters,nearToFar,orientation,contrast,frequency,intensity,requestedLatency,actualLatency,responseTime,correct,caseLabel,caseTrial,trialsAtStep,stepCorrect,expected,w,direction,stepsize,stepChange
1,True,15.713448100024834,50.0,800.0,2,True,90,1.0,[20. 20.],60,0.96,0.9645231000613421,0.03264620015397668,True,2_diopter_1-3,1,1,1,0.75,0.5,start,8,0
2,True,2.0865462999790907,50.0,100.0,1,True,0,1.0,[20. 20.],60,0.96,0.9656781998928636,0.2724097999744117,True,1_diopter_1-2,1,1,1,0.75,0.5,start,8,0
3,True,1.3211799999698997,50.0,33.0,1,False,90,1.0,[20. 20.],60,0.96,0.96369310002774,0.048385499976575375,False,1_diopter_1-0,1,1,0,0.75,0.5,start,8,0
4,True,1.9846177001018077,100.0,50.0,1,False,90,1.0,[20. 20.],60,0.96,0.9671730999834836,0.12291070003993809,False,1_diopter_2-1,1,1,0,0.75,0.5,start,8,0
5,True,1.5660888999700546,100.0,33.0,2,False,90,1.0,[20. 20.],60,0.96,0.9627408999949694,0.1767729998100549,False,2_diopter_2-0,1,1,0,0.75,0.5,start,8,0
6,True,1.308655699947849,100.0,800.0,1,True,0,1.0,[20. 20.],60,0.96,0.9647003998979926,0.3276704999152571,True,1_diopter_2-3,1,1,1,0.75,0.5,start,8,0
7,True,1.2938132998533547,100.0,50.0,1,False,0,1.0,[20. 20.],68,1.088,1.0944867001380771,0.2902172999456525,True,1_diopter_2-1,2,1,1,0.75,0.5,up,4,0
8,True,1.2666514001321048,50.0,100.0,1,True,90,1.0,[20. 20.],52,0.8320000000000001,0.8394114999100566,0.4634004000108689,True,1_diopter_1-2,2,1,1,0.75,0.5,start,8,0
9,True,2.1400817001704127,100.0,800.0,1,True,90,1.0,[20. 20.],52,0.8320000000000001,0.8361542001366615,0.38532560016028583,True,1_diopter_2-3,2,1,1,0.75,0.5,start,8,0
10,True,1.9584673000499606,100.0,33.0,2,False,90,1.0,[20. 20.],68,1.088,1.0912880999967456,0.33680070005357265,True,2_diopter_2-0,2,1,1,0.75,0.5,up,4,0
11,True,2.070027200039476,50.0,33.0,1,False,0,1.0,[20. 20.],68,1.088,1.1083617999684066,0.311429199995473,True,1_diopter_1-0,2,1,1,0.75,0.5,up,4,0
12,True,1.3633411000482738,50.0,800.0,2,True,90,1.0,[20. 20.],52,0.8320000000000001,0.8348556999117136,0.4955750999506563,True,2_diopter_1-3,2,1,1,0.75,0.5,start,8,0
13,True,1.7419115998782218,50.0,33.0,1,False,0,1.0,[20. 20.],68,1.088,1.0900566999334842,0.32137610018253326,True,1_diopter_1-0,3,2,2,1.5,1,up,4,0
14,True,1.5193590000271797,100.0,50.0,1,False,90,1.0,[20. 20.],68,1.088,1.0931895999237895,0.3458622000180185,True,1_diopter_2-1,3,2,2,1.5,1,up,4,0
