primeCorrect,primeTime,primeDepth,stimDepth,diopters,nearToFar,orientation,contrast,frequency,requestedLatency,actualLatency,responseTime,correct
True,28.945242300000245,50.0,100.0,1,True,0,1.0,[20. 20.],0.96,0.9680585999994946,0.47033700000065437,True
True,1.8166106000007858,50.0,100.0,1,True,90,1.0,[20. 20.],0.96,0.964509999999791,0.34060970000064117,True
True,2.354275800000323,50.0,100.0,1,True,90,1.0,[20. 20.],0.96,0.9653054000009433,0.4042853000009927,True
True,9.459692599999471,50.0,100.0,1,True,0,1.0,[20. 20.],0.96,0.9656506999999692,0.38059509999948204,True
True,5.2079061000004,50.0,100.0,1,True,90,1.0,[20. 20.],0.96,0.9672791000011784,0.42623470000035013,True
True,2.2398964000003616,50.0,100.0,1,True,0,1.0,[20. 20.],0.8320000000000001,0.8373762999999599,0.37520279999989725,True
True,2.3236770999992586,50.0,100.0,1,True,0,1.0,[20. 20.],0.8320000000000001,0.8394112999994832,0.385403000000224,True
True,2.3026356999998825,50.0,100.0,1,True,0,1.0,[20. 20.],0.8320000000000001,0.8393546999996033,0.4962386000006518,True
True,1.9296679999988555,50.0,100.0,1,True,0,1.0,[20. 20.],0.8320000000000001,0.836893699999564,0.3836295000000973,True
True,1.270115799999985,50.0,100.0,1,True,0,1.0,[20. 20.],0.8320000000000001,0.9290149999997084,0.3286121999990428,True
True,1.3148193000015453,50.0,100.0,1,True,0,1.0,[20. 20.],0.768,0.7756693999999698,0.451857399999426,True
True,1.7311661999992793,50.0,100.0,1,True,0,1.0,[20. 20.],0.768,0.773820300000807,0.3342451999997138,True
True,1.752191199999288,50.0,100.0,1,True,90,1.0,[20. 20.],0.768,0.7724747000011121,0.3709923999995226,True
True,2.0308767999995325,50.0,100.0,1,True,90,1.0,[20. 20.],0.768,0.775514299999486,0.35672230000091076,True
True,1.9348450999987108,50.0,100.0,1,True,0,1.0,[20. 20.],0.768,0.7730116999991878,0.3997110000000248,True
True,1.3972632999993948,50.0,100.0,1,True,0,1.0,[20. 20.],0.704,0.7093693999995594,0.4141810000000987,True
True,3.198899500001062,50.0,100.0,1,True,90,1.0,[20. 20.],0.704,0.7105491000002075,0.32875419999982114,True
True,2.599861599999713,50.0,100.0,1,True,90,1.0,[20. 20.],0.704,0.7103091000008135,0.3364528000001883,True
True,2.144626999999673,50.0,100.0,1,True,0,1.0,[20. 20.],0.704,0.7084681000014825,0.3144730999993044,True
True,1.3747267999988253,50.0,100.0,1,True,90,1.0,[20. 20.],0.704,0.7102453999996214,0.23267899999882502,True
True,1.6367630000004283,50.0,100.0,1,True,0,1.0,[20. 20.],0.64,0.6477610999991157,0.30270459999883315,True
True,1.8067547999999078,50.0,100.0,1,True,0,1.0,[20. 20.],0.64,0.6465951000009227,0.39335009999922477,True
True,3.907926400001088,50.0,100.0,1,True,90,1.0,[20. 20.],0.64,0.645755100000315,0.26731370000015886,True
True,2.561961800000063,50.0,100.0,1,True,0,1.0,[20. 20.],0.64,0.6462052000006224,0.2690738000001147,True
True,1.603546300000744,50.0,100.0,1,True,0,1.0,[20. 20.],0.64,0.6469164999998611,0.3662013000011939,True
True,1.520572399998855,50.0,100.0,1,True,90,1.0,[20. 20.],0.512,0.5205069000003277,0.5652209999989282,True
True,2.5196372000009433,50.0,100.0,1,True,0,1.0,[20. 20.],0.512,0.5189299999983632,0.4128538999993907,True
True,0.9674944999987929,50.0,100.0,1,True,90,1.0,[20. 20.],0.512,0.5609034999997675,0.3677488999983325,True
True,1.5564445999989402,50.0,100.0,1,True,0,1.0,[20. 20.],0.512,0.5171740000005229,0.4794017000003805,True
True,6.045184899998276,50.0,100.0,1,True,0,1.0,[20. 20.],0.512,0.5175564000001032,0.4306418999985908,True
True,1.283900000000358,50.0,100.0,1,True,0,1.0,[20. 20.],0.384,0.3883335000009538,0.39262869999947725,True
True,1.5591911999999866,50.0,100.0,1,True,90,1.0,[20. 20.],0.384,0.39186009999866656,0.466546699999526,True
True,2.402571299999181,50.0,100.0,1,True,0,1.0,[20. 20.],0.384,0.391768299999967,0.5299254000001383,True
True,7.993631699999241,50.0,100.0,1,True,0,1.0,[20. 20.],0.384,0.3882006999992882,0.43386160000045493,True
True,2.210095200000069,50.0,100.0,1,True,90,1.0,[20. 20.],0.384,0.3890238000003592,0.370431200000894,True
True,5.236953300000096,50.0,100.0,1,True,90,1.0,[20. 20.],0.256,0.26239130000067235,0.6586284000004525,True
True,1.9447055000000546,50.0,100.0,1,True,0,1.0,[20. 20.],0.256,0.2615415000000212,0.6480379999993602,True
True,3.000239500001044,50.0,100.0,1,True,0,1.0,[20. 20.],0.256,0.2627620000002935,0.48049079999873356,True
True,1.5478626000003715,50.0,100.0,1,True,0,1.0,[20. 20.],0.256,0.2605273999997735,0.5992891999994754,True
True,2.132510100000218,50.0,100.0,1,True,0,1.0,[20. 20.],0.256,0.262483999998949,0.6499036000004708,True
True,2.0641018000005715,50.0,100.0,1,True,90,1.0,[20. 20.],0.128,0.13468810000085796,1.0006123000002844,False
True,1.3264089000003878,50.0,100.0,1,True,0,1.0,[20. 20.],0.128,0.13372589999926277,0.9666854999995849,True
True,1.3552643000002718,50.0,100.0,1,True,0,1.0,[20. 20.],0.128,0.132411200000206,0.6980075999999826,True
True,2.5943194000010408,50.0,100.0,1,True,90,1.0,[20. 20.],0.128,0.1327618999985134,0.7628478999995423,False
True,8.501734499999657,50.0,100.0,1,True,0,1.0,[20. 20.],0.128,0.13573259999975562,1.128993199999968,True
True,5.900345099998958,50.0,100.0,1,True,90,1.0,[20. 20.],0.128,0.13413430000036897,0.6075660999995307,True
True,1.5350229999985459,50.0,100.0,1,True,0,1.0,[20. 20.],0.128,0.1342817999993713,0.6935921999993298,True
True,1.3496678999999858,50.0,100.0,1,True,90,1.0,[20. 20.],0.128,0.1345579999997426,0.4709866000011971,True
True,2.426717700000154,50.0,100.0,1,True,0,1.0,[20. 20.],0.128,0.13467060000039055,0.8170331999990594,True
True,1.7716211000006297,50.0,100.0,1,True,90,1.0,[20. 20.],0.128,0.13400340000043798,0.9725349000000278,False
