primeDepth,primeCorrect,primeTime,stimDepth,orientation,contrast,frequency,requestedLatency,actualLatency,responseTime,correct
33.0,True,14.751197554345708,50.0,0,1.0,[20. 20.],0.96,0.9660535325529054,0.7799104125588201,True
33.0,True,3.5697299912571907,50.0,0,1.0,[20. 20.],0.8320000000000001,0.8372029940364882,0.529275162552949,True
33.0,True,2.755800385668408,50.0,0,1.0,[20. 20.],0.704,0.709175604628399,0.5588390284683555,True
33.0,True,4.1072630367125385,50.0,0,1.0,[20. 20.],0.5760000000000001,0.5803772644139826,0.474457599921152,True
33.0,True,3.4989221644354984,50.0,0,1.0,[20. 20.],0.448,0.45382491586497054,0.62949319294421,True
33.0,True,2.502082212246023,50.0,0,1.0,[20. 20.],0.32,0.3233374632545747,0.7569044669508003,True
33.0,True,2.642341297469102,50.0,0,1.0,[20. 20.],0.192,0.19818332442082465,1.2918035527109168,True
33.0,True,6.805328328569885,50.0,0,1.0,[20. 20.],0.064,0.07129784533753991,1.9546863338910043,True
33.0,True,2.17871073220158,50.0,90,1.0,[20. 20.],-0.064,0.004096097545698285,1.9674919173121452,True
33.0,True,8.822262853442226,50.0,90,1.0,[20. 20.],-0.192,0.0038066611741669476,1.8831442123628221,True
33.0,True,7.31287698954111,50.0,90,1.0,[20. 20.],-0.32,0.0035928828292526305,1.7485084639047273,False
33.0,True,36.35078202089062,50.0,0,1.0,[20. 20.],-0.256,0.003727777278982103,1.3495867393212393,True
33.0,True,2.4424896813579835,50.0,0,1.0,[20. 20.],-0.256,0.004004604008514434,2.225621723860968,True
33.0,True,1.4831515435944311,50.0,90,1.0,[20. 20.],-0.256,0.003453589743003249,1.2179676400264725,False
33.0,True,4.264147269481327,50.0,90,1.0,[20. 20.],-0.192,0.0037656063213944435,1.3092659252579324,False
33.0,True,5.516215918993112,50.0,0,1.0,[20. 20.],-0.128,0.003682323673274368,1.477958109404426,False
33.0,True,10.575138963176869,50.0,90,1.0,[20. 20.],-0.064,0.003791412163991481,1.6103223536047153,False
33.0,True,3.422965184028726,50.0,90,1.0,[20. 20.],0.0,0.0035527077852748334,1.1451170428772457,False
33.0,True,1.6118516454589553,50.0,0,1.0,[20. 20.],0.064,0.07024801505031064,1.660637962515466,True
33.0,True,2.583766046212986,50.0,90,1.0,[20. 20.],0.064,0.07142247608862817,2.2349423400009982,False
33.0,False,1.159030813141726,50.0,90,1.0,[20. 20.],0.128,0.13359559542732313,1.7620240024407394,True
33.0,True,2.2157659289077856,50.0,90,1.0,[20. 20.],0.128,0.13223022950114682,2.6798583608469926,False
33.0,True,2.742397161317058,50.0,0,1.0,[20. 20.],0.192,0.1984325857483782,1.4769748465623707,True
33.0,True,3.0489118274417706,50.0,0,1.0,[20. 20.],0.192,0.19584935816237703,1.4749256247887388,False
33.0,True,1.4782994508859701,50.0,90,1.0,[20. 20.],0.256,0.2626124058733694,0.792413363349624,True
33.0,True,4.732707051909529,50.0,90,1.0,[20. 20.],0.256,0.2593593982164748,0.9409124432713725,True
33.0,True,1.9430684075923637,50.0,0,1.0,[20. 20.],0.256,0.26217957079643384,2.0351757659227587,False
33.0,True,11.338658533932175,50.0,0,1.0,[20. 20.],0.32,0.3256195245194249,2.8756044954643585,False
33.0,True,2.4673548236023635,50.0,90,1.0,[20. 20.],0.384,0.388336913427338,0.5753946760669351,True
33.0,True,8.388838368700817,50.0,0,1.0,[20. 20.],0.384,0.3897084374912083,0.6596529401722364,True
33.0,True,2.9692959832027555,50.0,90,1.0,[20. 20.],0.384,0.38833486067596823,0.5703478662762791,True
33.0,True,3.3383007705560885,50.0,90,1.0,[20. 20.],0.32,0.32301723572891206,0.6902883367729373,True
33.0,True,2.657445070857648,50.0,90,1.0,[20. 20.],0.32,0.3259825663990341,0.5206689002807252,True
33.0,True,5.357265749305952,50.0,0,1.0,[20. 20.],0.32,0.3248233543126844,0.5738310741144232,True
33.0,True,1.7895623996737413,50.0,0,1.0,[20. 20.],0.256,0.25938344467431307,0.4983526755240746,True
33.0,False,2.7859261159901507,50.0,0,1.0,[20. 20.],0.256,0.2607136206352152,1.079608512984123,True
33.0,True,4.316484534763731,50.0,0,1.0,[20. 20.],0.256,0.2598834336386062,0.7807297492981888,True
33.0,True,4.123043334810063,50.0,0,1.0,[20. 20.],0.256,0.2609482196276076,0.8402495546615683,True
33.0,True,2.9265247831935994,50.0,90,1.0,[20. 20.],0.192,0.19824402692029253,0.6137257977970876,True
33.0,True,3.1968194248038344,50.0,90,1.0,[20. 20.],0.192,0.19734052766580135,0.4671985220047645,True
33.0,True,2.3789585272897966,50.0,90,1.0,[20. 20.],0.192,0.19824461336247623,1.091263095382601,True
33.0,True,1.7191973783774301,50.0,90,1.0,[20. 20.],0.128,0.1336442747269757,1.0108713151421398,True
33.0,True,1.9193510406767018,50.0,0,1.0,[20. 20.],0.128,0.13367770501645282,0.9009534980868921,True
33.0,True,2.3568188382778317,50.0,90,1.0,[20. 20.],0.128,0.13409382494864985,0.9400576233747415,True
33.0,True,2.098704280680977,50.0,0,1.0,[20. 20.],0.064,0.07139960263157263,2.708121082338039,True
