primeCorrect,primeTime,primeDepth,stimDepth,diopters,nearToFar,orientation,contrast,frequency,requestedLatency,actualLatency,responseTime,correct
True,10.568288087495603,33.0,800.0,3,True,90,1.0,[20. 20.],0.96,0.9639392095850781,13.68263571918942,True
True,22.135853317100555,800.0,33.0,3,False,90,1.0,[20. 20.],0.96,0.9628016978967935,6.262018284061924,True
True,2.7538367924280465,100.0,50.0,1,False,90,1.0,[20. 20.],0.96,0.96518375701271,0.4268604062963277,True
True,9.973589437198825,800.0,50.0,2,False,90,1.0,[20. 20.],0.96,0.9648160231299698,0.18271562946029007,True
True,4.350730409263633,800.0,800.0,0,True,90,1.0,[20. 20.],0.96,0.9650512085063383,3.3402150979964063,True
True,3.3866648094262928,50.0,800.0,2,True,90,1.0,[20. 20.],0.96,0.9631248579826206,0.7263813845347613,True
True,5.637219709227793,33.0,50.0,1,True,0,1.0,[20. 20.],0.96,0.9669916350394487,0.29614949820097536,True
True,2.831623937934637,33.0,100.0,2,True,90,1.0,[20. 20.],0.8320000000000001,0.8384179233107716,0.11528016242664307,True
True,3.924983468139544,33.0,800.0,3,True,0,1.0,[20. 20.],0.8320000000000001,0.8345957200508565,0.4006084910361096,True
True,9.403875574585982,800.0,33.0,3,False,0,1.0,[20. 20.],0.8320000000000001,0.83355468721129,1.4278562788385898,True
True,2.1977258565602824,100.0,33.0,2,False,90,1.0,[20. 20.],0.8320000000000001,0.8343077497556806,0.5022215053904802,True
True,2.4798381266882643,100.0,50.0,1,False,0,1.0,[20. 20.],0.8320000000000001,0.8370956650469452,0.0640502042369917,True
True,2.068656261311844,100.0,100.0,0,True,90,1.0,[20. 20.],0.8320000000000001,0.8392844732152298,0.07943021785467863,False
True,3.9361474454635754,33.0,50.0,1,True,90,1.0,[20. 20.],0.8320000000000001,0.8389334544772282,0.05268447182606906,False
True,21.53557385096792,800.0,800.0,0,True,90,1.0,[20. 20.],0.896,0.9001479439903051,2.3968707433668897,True
True,3.6121962127508596,33.0,800.0,3,True,90,1.0,[20. 20.],0.704,0.7074818002292886,0.5127869622083381,True
True,2.763545083347708,50.0,800.0,2,True,90,1.0,[20. 20.],0.704,0.7070932456990704,0.02489153470378369,False
True,10.258489915984683,800.0,33.0,3,False,90,1.0,[20. 20.],0.704,0.7067173010436818,1.1478926417184994,True
True,1.8911713084671646,100.0,50.0,1,False,90,1.0,[20. 20.],0.704,0.7084841242758557,0.47311217500828207,True
