trial,primeIter,primeCorrect,primeTime,primeDepth,stimDepth,extraDepth,driveFrames,nearToFar,diopters,direction,size,intensity,extraLatency,mainLatency,totalLatency,responseTime,correct,caseLabel,caseTrial,trialsAtStep,stepCorrect,expected,w,direction,stepsize,stepChange
1,1,True,1.9971338000614196,800.0,50.0,33.0,8,False,2,start,0.16666666666666666,60,0.1316444999538362,0.9844301999546587,1.116074699908495,0.013537999941036105,True,near-160,1,1,1,0.625,0.5,start,8,0
2,3,True,1.1528174001723528,800.0,50.0,33.0,4,False,2,start,0.16666666666666666,60,0.0774836998898536,1.3103111998643726,1.3877948997542262,1.8667200999334455,True,near-080,1,1,1,0.625,0.5,start,8,0
3,1,True,2.4507152000442147,800.0,50.0,33.0,0,False,2,start,0.16666666666666666,60,0,0.984098499873653,0.984098499873653,0.2792522998061031,True,near-000,1,1,1,0.625,0.5,start,8,0
4,2,True,1.5316367000341415,800.0,50.0,33.0,12,False,2,start,0.16666666666666666,60,0.20714830001816154,0.9948955001309514,1.202043800149113,0.6915541999042034,True,near-240,1,1,1,0.625,0.5,start,8,0
5,3,True,0.885622400091961,800.0,50.0,33.0,12,False,2,start,0.16666666666666666,52,0.20601249998435378,0.8811040001455694,1.0871165001299232,0.223368400009349,True,near-240,2,1,1,0.625,1.0,start,8,0
6,2,True,1.2013493000995368,800.0,50.0,33.0,8,False,2,start,0.16666666666666666,52,0.13686610013246536,0.8676510001532733,1.0045171002857387,0.36624929984100163,True,near-160,2,1,1,0.625,1.0,start,8,0
7,1,True,1.8717437000013888,800.0,50.0,33.0,4,False,2,start,0.16666666666666666,52,0.06753319990821183,1.344406699994579,1.4119398999027908,0.7777162999846041,True,near-080,2,1,1,0.625,1.0,start,8,0
8,1,True,1.8974401000887156,800.0,50.0,33.0,0,False,2,start,0.16666666666666666,52,0,0.851398800034076,0.851398800034076,0.4146379998419434,True,near-000,2,1,1,0.625,1.0,start,8,0
9,1,True,1.5388045001309365,800.0,50.0,33.0,4,False,2,start,0.16666666666666666,44,0.06670630001462996,0.7282871000934392,0.7949934001080692,0.35922269988805056,True,near-080,3,1,1,0.625,1.0,start,8,0
10,3,True,2.0861545000225306,800.0,50.0,33.0,12,False,2,start,0.16666666666666666,44,0.20568150002509356,0.7475132001563907,0.9531947001814842,0.2136451001279056,True,near-240,3,1,1,0.625,1.0,start,8,0
11,1,True,1.6651445000898093,800.0,50.0,33.0,0,False,2,start,0.16666666666666666,44,0,0.7247035999316722,0.7247035999316722,0.4648668998852372,True,near-000,3,1,1,0.625,1.0,start,8,0
12,3,True,1.143914399901405,800.0,50.0,33.0,8,False,2,start,0.16666666666666666,44,0.14851649990305305,0.7552287001162767,0.9037452000193298,0.6181008999701589,True,near-160,3,1,1,0.625,1.0,start,8,0
13,1,True,1.5961184001062065,800.0,50.0,33.0,0,False,2,start,0.16666666666666666,36,0,0.6023232999723405,0.6023232999723405,0.5883231000043452,True,near-000,4,1,1,0.625,0.5,start,8,0
14,1,True,1.3294403001200408,800.0,50.0,33.0,12,False,2,start,0.16666666666666666,36,0.19620270002633333,0.5975307000335306,0.7937334000598639,0.5334298999514431,True,near-240,4,1,1,0.625,0.5,start,8,0
15,2,True,1.4399751999881119,800.0,50.0,33.0,4,False,2,start,0.16666666666666666,36,0.07586469990201294,0.6182695000898093,0.6941341999918222,0.3951355000026524,True,near-080,4,1,1,0.625,0.5,start,8,0
16,4,True,1.057925600092858,800.0,50.0,33.0,8,False,2,start,0.16666666666666666,36,0.14245759998448193,0.6239511999301612,0.7664087999146432,0.33629840007051826,True,near-160,4,1,1,0.625,0.5,start,8,0
17,1,True,2.463476700009778,800.0,50.0,33.0,0,False,2,start,0.16666666666666666,28,0,0.4699178000446409,0.4699178000446409,0.9362033000215888,False,near-000,5,1,0,0.625,0.5,start,8,0
18,1,True,1.3657972998917103,800.0,50.0,33.0,8,False,2,start,0.16666666666666666,28,0.13179609994404018,0.4681877000257373,0.5999837999697775,0.9529074002057314,True,near-160,5,1,1,0.625,0.5,start,8,0
19,4,True,1.1311596999876201,800.0,50.0,33.0,4,False,2,start,0.16666666666666666,28,0.3136702000629157,0.4999759001657367,0.8136461002286524,0.3104020000901073,True,near-080,5,1,1,0.625,0.5,start,8,0
20,1,True,1.255313399946317,800.0,50.0,33.0,12,False,2,start,0.16666666666666666,28,0.19507999997586012,0.4672283998224884,0.6623083997983485,0.4475971998181194,True,near-240,5,1,1,0.625,0.5,start,8,0
21,2,True,1.3731353001203388,800.0,50.0,33.0,0,False,2,up,0.16666666666666666,32,0,0.5561283999122679,0.5561283999122679,0.4894904000684619,True,near-000,6,1,1,0.625,0.5,up,4,0
22,3,True,1.25551120005548,800.0,50.0,33.0,4,False,2,start,0.16666666666666666,20,0.08302640006877482,0.3625420001335442,0.445568400202319,0.6636563998181373,True,near-080,6,1,1,0.625,0.5,start,8,0
23,1,True,1.4054672999773175,800.0,50.0,33.0,8,False,2,start,0.16666666666666666,20,0.13090540003031492,0.3463791001122445,0.4772845001425594,0.6240145999472588,True,near-160,6,1,1,0.625,0.5,start,8,0
24,2,True,1.452066200086847,800.0,50.0,33.0,12,False,2,start,0.16666666666666666,20,0.20381200010888278,0.3576280002016574,0.5614400003105402,0.43377809994854033,True,near-240,6,1,1,0.625,0.5,start,8,0
25,2,True,1.8307062999811023,800.0,50.0,33.0,12,False,2,start,0.16666666666666666,12,0.2047552999574691,0.23641579994000494,0.44117109989747405,0.8071836000308394,True,near-240,7,1,1,0.625,0.5,start,8,0
26,2,True,1.5736893999855965,800.0,50.0,33.0,8,False,2,start,0.16666666666666666,12,0.1391508998349309,0.22840899997390807,0.36755989980883896,0.7945900000631809,True,near-160,7,1,1,0.625,0.5,start,8,0
27,2,True,0.8733137999661267,800.0,50.0,33.0,0,False,2,up,0.16666666666666666,32,0,0.5490625000093132,0.5490625000093132,0.37922880006954074,True,near-000,7,2,2,1.25,1,up,4,0
28,2,True,2.3677233001217246,800.0,50.0,33.0,4,False,2,start,0.16666666666666666,12,0.07987669995054603,0.2262614998035133,0.3061381997540593,1.8750316998921335,False,near-080,7,1,0,0.625,0.5,start,8,0
29,3,True,1.136972100008279,800.0,50.0,33.0,8,False,2,start,0.16666666666666666,4,0.14374620001763105,0.11644570017233491,0.26019190018996596,0.7685824001673609,False,near-160,8,1,0,0.625,0.5,start,8,0
30,1,True,1.4977009000722319,800.0,50.0,33.0,12,False,2,start,0.16666666666666666,4,0.19547319994308054,0.08380050002597272,0.27927369996905327,0.8041874000336975,True,near-240,8,1,1,0.625,0.5,start,8,0
31,1,True,0.9809434001799673,800.0,50.0,33.0,4,False,2,up,0.16666666666666666,16,0.0664315999019891,0.2780721001327038,0.3445037000346929,1.0782290999777615,False,near-080,8,1,0,0.625,0.5,up,4,0
32,1,True,1.274498599814251,800.0,50.0,33.0,0,False,2,up,0.16666666666666666,32,0,0.5322571999859065,0.5322571999859065,0.6094998000189662,True,near-000,8,3,3,1.875,1,up,4,0
33,2,True,1.0214154999703169,800.0,50.0,33.0,0,False,2,down,0.16666666666666666,30,0,0.5182418001350015,0.5182418001350015,0.43735069991089404,True,near-000,9,1,1,0.625,1,down,2,0
34,1,True,1.276769099989906,800.0,50.0,33.0,8,False,2,up,0.16666666666666666,6,0.13130399980582297,0.1186714000068605,0.24997539981268346,0.822589399991557,False,near-160,9,1,0,0.625,0.5,up,2,0
35,1,True,1.1659873998723924,800.0,50.0,33.0,4,False,2,up,0.16666666666666666,16,0.1728572000283748,0.2771893998142332,0.450046599842608,0.5272049999330193,True,near-080,9,2,1,1.25,1,up,4,0
36,2,True,1.200423200149089,800.0,50.0,33.0,12,False,2,start,0.16666666666666666,0,0.20240670000202954,0.03193329996429384,0.23433999996632338,1.178077300079167,False,near-240,9,1,0,0.625,0.5,start,8,1
37,3,True,0.8509974998887628,800.0,50.0,33.0,8,False,2,up,0.16666666666666666,6,0.1493064002133906,0.14465989987365901,0.2939663000870496,1.4035470001399517,False,near-160,10,2,0,1.25,1,up,2,0
38,1,True,1.9094392999541014,800.0,50.0,33.0,0,False,2,down,0.16666666666666666,30,0,0.5031184998806566,0.5031184998806566,0.681737800128758,True,near-000,10,2,2,1.25,1,down,2,0
39,2,True,2.074984500184655,800.0,50.0,33.0,4,False,2,up,0.16666666666666666,16,0.07634269981645048,0.2992437998764217,0.37558649969287217,0.6565711000002921,True,near-080,10,3,2,1.875,1,up,4,0
40,2,True,2.904674000106752,800.0,50.0,33.0,12,False,2,up,0.16666666666666666,2,0.2054000000935048,0.063049899879843,0.2684498999733478,0.9687018000986427,False,near-240,10,1,0,0.625,0.5,up,2,0
41,2,True,1.095400799997151,800.0,50.0,33.0,4,False,2,up,0.16666666666666666,16,0.0731965999584645,0.28952670004218817,0.36272330000065267,0.8134057000279427,True,near-080,11,4,3,2.5,1,up,4,0
42,1,True,1.748226399999112,800.0,50.0,33.0,8,False,2,up,0.16666666666666666,8,0.13133280002512038,0.15099010011181235,0.28232290013693273,0.7747468000743538,False,near-160,11,1,0,0.625,1,up,2,0
43,1,True,2.390794900013134,800.0,50.0,33.0,0,False,2,down,0.16666666666666666,30,0,0.49921669997274876,0.49921669997274876,0.9800381001550704,False,near-000,11,3,2,1.875,1,down,2,0
44,1,True,1.3786085001192987,800.0,50.0,33.0,12,False,2,up,0.16666666666666666,2,0.19522619992494583,0.052135400008410215,0.24736159993335605,1.1594587999861687,False,near-240,11,2,0,1.25,1,up,2,0
45,2,True,1.5133265999611467,800.0,50.0,33.0,4,False,2,up,0.16666666666666666,16,0.07436299999244511,0.2889187999535352,0.3632817999459803,0.7411313999909908,True,near-080,12,5,4,3.125,1,up,4,0
46,1,True,1.5344140999950469,800.0,50.0,33.0,8,False,2,up,0.16666666666666666,8,0.13029909995384514,0.1503161999862641,0.28061529994010925,0.7102779999841005,True,near-160,12,2,1,1.25,1,up,2,0
47,2,True,2.4856089998502284,800.0,50.0,33.0,0,False,2,down,0.16666666666666666,30,0,0.519394600065425,0.519394600065425,0.5202281000092626,True,near-000,12,4,3,2.5,1,down,2,0
48,4,True,0.9495560999494046,800.0,50.0,33.0,12,False,2,up,0.16666666666666666,4,0.21780409989878535,0.12414429988712072,0.3419483997859061,0.7257585998158902,False,near-240,12,1,0,0.625,1,up,2,0
49,4,True,1.226821299875155,800.0,50.0,33.0,0,False,2,down,0.16666666666666666,30,0,0.5416686001699418,0.5416686001699418,0.5059141998644918,True,near-000,13,5,4,3.125,1,down,2,0
50,2,True,1.1744255998637527,800.0,50.0,33.0,8,False,2,up,0.16666666666666666,8,0.13564540003426373,0.16159019991755486,0.2972355999518186,0.8055366999469697,True,near-160,13,3,2,1.875,1,up,2,0
51,2,True,1.2146191999781877,800.0,50.0,33.0,4,False,2,up,0.16666666666666666,16,0.07214069995097816,0.3007618000265211,0.37290249997749925,0.675844200188294,False,near-080,13,6,4,3.75,1,up,4,0
52,1,True,1.487595499958843,800.0,50.0,33.0,12,False,2,up,0.16666666666666666,4,0.19507279992103577,0.5762378999497741,0.7713106998708099,0.4149562001693994,False,near-240,13,2,0,1.25,1,up,2,0
53,4,True,0.9673003000207245,800.0,50.0,33.0,8,False,2,up,0.16666666666666666,8,0.14800110016949475,0.1838383001741022,0.33183940034359694,0.7182725998573005,False,near-160,14,4,2,2.5,1,up,2,0
54,2,True,0.9601206998340786,800.0,50.0,33.0,0,False,2,down,0.16666666666666666,30,0,0.5120041999034584,0.5120041999034584,0.5874169999733567,True,near-000,14,6,5,3.75,1,down,2,0
55,3,True,1.611874199938029,800.0,50.0,33.0,4,False,2,up,0.16666666666666666,16,0.08106479980051517,0.2985426001250744,0.37960739992558956,0.9111815001815557,False,near-080,14,7,4,4.375,1,up,4,0
56,3,True,1.1504285999108106,800.0,50.0,33.0,12,False,2,up,0.16666666666666666,6,0.2029522000811994,0.1463342998176813,0.3492864998988807,0.7818877999670804,False,near-240,14,1,0,0.625,1,up,2,0
57,1,True,1.4248740999028087,800.0,50.0,33.0,12,False,2,up,0.16666666666666666,6,0.19629399990662932,0.11657739989459515,0.31287139980122447,0.9146569001022726,False,near-240,15,2,0,1.25,1,up,2,0
58,1,True,1.598275399999693,800.0,50.0,33.0,4,False,2,up,0.16666666666666666,16,0.06609340012073517,0.277942500077188,0.3440359001979232,0.8390595999080688,False,near-080,15,8,4,5.0,1,up,4,0
