primeDepth,primeCorrect,stimDepth,orientation,contrast,frequency,latency,correct
33.0,True,50.0,90,1.0,[20. 20.],60,False
33.0,True,50.0,90,1.0,[20. 20.],68,False
33.0,True,50.0,90,1.0,[20. 20.],76,True
33.0,True,50.0,0,1.0,[20. 20.],72,True
33.0,True,50.0,90,1.0,[20. 20.],72,True
33.0,True,50.0,0,1.0,[20. 20.],72,True
33.0,True,50.0,90,1.0,[20. 20.],68,True
33.0,True,50.0,90,1.0,[20. 20.],68,True
33.0,False,50.0,0,1.0,[20. 20.],68,False
33.0,True,50.0,0,1.0,[20. 20.],68,True
33.0,True,50.0,90,1.0,[20. 20.],64,True
33.0,True,50.0,90,1.0,[20. 20.],64,True
33.0,True,50.0,0,1.0,[20. 20.],64,True
33.0,True,50.0,0,1.0,[20. 20.],60,True
33.0,True,50.0,90,1.0,[20. 20.],60,True
33.0,True,50.0,90,1.0,[20. 20.],60,True
33.0,True,50.0,90,1.0,[20. 20.],56,True
33.0,True,50.0,90,1.0,[20. 20.],56,True
33.0,True,50.0,0,1.0,[20. 20.],56,True
33.0,True,50.0,90,1.0,[20. 20.],52,True
33.0,True,50.0,0,1.0,[20. 20.],52,True
33.0,True,50.0,90,1.0,[20. 20.],52,True
33.0,False,50.0,0,1.0,[20. 20.],48,False
33.0,True,50.0,90,1.0,[20. 20.],48,True
33.0,True,50.0,0,1.0,[20. 20.],48,True
33.0,True,50.0,0,1.0,[20. 20.],48,True
33.0,True,50.0,0,1.0,[20. 20.],44,True
33.0,True,50.0,90,1.0,[20. 20.],44,True
33.0,True,50.0,90,1.0,[20. 20.],44,False
33.0,True,50.0,0,1.0,[20. 20.],48,True
33.0,True,50.0,90,1.0,[20. 20.],48,True
33.0,True,50.0,0,1.0,[20. 20.],48,True
33.0,True,50.0,90,1.0,[20. 20.],46,True
33.0,True,50.0,90,1.0,[20. 20.],46,True
33.0,True,50.0,0,1.0,[20. 20.],46,True
33.0,True,50.0,0,1.0,[20. 20.],44,True
33.0,True,50.0,0,1.0,[20. 20.],44,True
33.0,True,50.0,0,1.0,[20. 20.],44,True
33.0,True,50.0,90,1.0,[20. 20.],42,False
33.0,True,50.0,90,1.0,[20. 20.],44,False
33.0,True,50.0,0,1.0,[20. 20.],46,True
33.0,True,50.0,90,1.0,[20. 20.],46,True
33.0,True,50.0,90,1.0,[20. 20.],46,True
33.0,True,50.0,90,1.0,[20. 20.],44,False
33.0,True,50.0,90,1.0,[20. 20.],45,True
33.0,True,50.0,90,1.0,[20. 20.],45,False
33.0,False,50.0,90,1.0,[20. 20.],46,True
33.0,True,50.0,90,1.0,[20. 20.],46,True
33.0,True,50.0,0,1.0,[20. 20.],46,False
33.0,True,50.0,90,1.0,[20. 20.],47,True
33.0,True,50.0,0,1.0,[20. 20.],47,True
33.0,True,50.0,0,1.0,[20. 20.],47,True
33.0,True,50.0,0,1.0,[20. 20.],46,True
33.0,True,50.0,0,1.0,[20. 20.],46,True
33.0,True,50.0,90,1.0,[20. 20.],46,False
33.0,True,50.0,90,1.0,[20. 20.],47,False
33.0,True,50.0,0,1.0,[20. 20.],48,False
33.0,True,50.0,0,1.0,[20. 20.],49,True
33.0,True,50.0,0,1.0,[20. 20.],49,True
33.0,True,50.0,90,1.0,[20. 20.],49,False
33.0,True,50.0,90,1.0,[20. 20.],50,True
33.0,True,50.0,0,1.0,[20. 20.],50,True
33.0,False,50.0,0,1.0,[20. 20.],50,True
33.0,True,50.0,90,1.0,[20. 20.],50,True
33.0,True,50.0,90,1.0,[20. 20.],49,True
33.0,True,50.0,0,1.0,[20. 20.],49,True
33.0,True,50.0,90,1.0,[20. 20.],49,True
33.0,True,50.0,90,1.0,[20. 20.],48,True
33.0,True,50.0,0,1.0,[20. 20.],48,False
