trial,primeCorrect,primeTime,primeDepth,stimDepth,diopters,nearToFar,orientation,contrast,frequency,intensity,requestedLatency,actualLatency,responseTime,correct,caseLabel,caseTrial,trialsAtStep,stepCorrect,expected,w,direction,stepsize,stepChange
1,True,1.7941206998657435,50.0,50.0,0,True,0,1.0,[20. 20.],60,0.96,0.9651981999631971,0.3428889000788331,True,near_0,1,1,1,0.75,0.5,start,8,0
2,True,2.7750045999418944,100.0,33.0,2,False,90,1.0,[20. 20.],60,0.96,0.9631396001204848,0.317534799920395,True,far_2,1,1,1,0.75,0.5,start,8,0
3,True,1.482694000005722,33.0,800.0,3,True,0,1.0,[20. 20.],60,0.96,1.0116539001464844,0.3567604999989271,True,near_3,1,1,1,0.75,0.5,start,8,0
4,True,1.7391974001657218,800.0,33.0,3,False,0,1.0,[20. 20.],60,0.96,0.963093499885872,0.32340990006923676,True,far_3,1,1,1,0.75,0.5,start,8,0
5,True,2.700399599969387,50.0,33.0,1,False,0,1.0,[20. 20.],60,0.96,0.9627027998212725,0.3119751999620348,True,far_1,1,1,1,0.75,0.5,start,8,0
6,True,1.9793618998955935,100.0,800.0,1,True,90,1.0,[20. 20.],60,0.96,0.9631747999228537,0.3901637000963092,True,near_1,1,1,1,0.75,0.5,start,8,0
7,True,2.2979172999039292,50.0,800.0,2,True,0,1.0,[20. 20.],60,0.96,0.9647876000963151,0.4096099000889808,True,near_2,1,1,1,0.75,0.5,start,8,0
8,True,1.3650751998648047,100.0,33.0,2,False,90,1.0,[20. 20.],52,0.8320000000000001,0.8344994001090527,0.4147975998930633,True,far_2,2,1,1,0.75,0.5,start,8,0
9,True,2.03549259994179,800.0,33.0,3,False,90,1.0,[20. 20.],52,0.8320000000000001,0.8777733000461012,0.3134876999538392,True,far_3,2,1,1,0.75,0.5,start,8,0
10,True,1.8119477001018822,50.0,50.0,0,True,90,1.0,[20. 20.],52,0.8320000000000001,0.8370412001386285,0.3483328002039343,True,near_0,2,1,1,0.75,0.5,start,8,0
11,True,1.6280886000022292,50.0,100.0,1,True,0,1.0,[20. 20.],52,0.8320000000000001,0.8386176000349224,0.35154810012318194,True,near_1,2,1,1,0.75,0.5,start,8,0
12,True,6.968905700137839,50.0,800.0,2,True,90,1.0,[20. 20.],52,0.8320000000000001,0.8372582998126745,0.3818652001209557,True,near_2,2,1,1,0.75,0.5,start,8,0
13,True,1.7423053998500109,100.0,50.0,1,False,0,1.0,[20. 20.],52,0.8320000000000001,0.8377340000588447,0.3700657000299543,True,far_1,2,1,1,0.75,0.5,start,8,0
14,True,4.885143200168386,33.0,800.0,3,True,0,1.0,[20. 20.],52,0.8320000000000001,0.8354948000051081,0.4776660001371056,True,near_3,2,1,1,0.75,0.5,start,8,0
15,True,1.4505102999974042,50.0,33.0,1,False,90,1.0,[20. 20.],44,0.704,0.7068461000453681,0.33671169984154403,True,far_1,3,1,1,0.75,0.5,start,8,0
16,True,1.0626067998819053,33.0,800.0,3,True,0,1.0,[20. 20.],44,0.704,0.708418200025335,0.37077929987572134,True,near_3,3,1,1,0.75,0.5,start,8,0
17,True,1.6962161001283675,100.0,33.0,2,False,90,1.0,[20. 20.],44,0.704,0.7072815999854356,0.3205687999725342,True,far_2,3,1,1,0.75,0.5,start,8,0
18,True,1.8855723000597209,33.0,100.0,2,True,90,1.0,[20. 20.],44,0.704,0.7116012999322265,0.3588265001308173,True,near_2,3,1,1,0.75,0.5,start,8,0
19,True,1.6288846000097692,800.0,33.0,3,False,90,1.0,[20. 20.],44,0.704,0.707906800089404,0.36599700013175607,True,far_3,3,1,1,0.75,0.5,start,8,0
20,True,1.6310605998151004,100.0,800.0,1,True,0,1.0,[20. 20.],44,0.704,0.708854200085625,0.3304063999094069,True,near_1,3,1,1,0.75,0.5,start,8,0
21,True,1.698031899984926,800.0,800.0,0,True,0,1.0,[20. 20.],44,0.704,0.7091117000672966,0.3834371999837458,True,near_0,3,1,1,0.75,0.5,start,8,0
22,True,2.8397971999365836,33.0,800.0,3,True,90,1.0,[20. 20.],36,0.5760000000000001,0.580593999940902,0.7664899001829326,True,near_3,4,1,1,0.75,0.5,start,8,0
