trial,primeCorrect,primeTime,primeDepth,stimDepth,diopters,nearToFar,orientation,contrast,frequency,intensity,requestedLatency,actualLatency,responseTime,correct,caseLabel,caseTrial,trialsAtStep,correct,expected,w,direction,stepsize,stepChange
1,True,16.080733600072563,100.0,33.0,2,False,0,1.0,[20. 20.],60,0.96,0.9629869998898357,0.36434279987588525,0,2_diopter_2-0,1,1,0,0.75,0.5,start,8,0
2,True,3.224568600067869,100.0,50.0,1,False,0,1.0,[20. 20.],60,0.96,0.965499100042507,0.3054237999022007,0,1_diopter_2-1,1,1,0,0.75,0.5,start,8,0
3,True,1.4752102999482304,100.0,800.0,1,True,90,1.0,[20. 20.],60,0.96,0.9649676999542862,0.36104950006119907,0,1_diopter_2-3,1,1,0,0.75,0.5,start,8,0
4,True,1.2312688000965863,50.0,100.0,1,True,90,1.0,[20. 20.],60,0.96,0.9683077998925,0.24100999999791384,0,1_diopter_1-2,1,1,0,0.75,0.5,start,8,0
5,True,1.0309809998143464,50.0,800.0,2,True,90,1.0,[20. 20.],60,0.96,0.9631944000720978,0.2183548000175506,0,2_diopter_1-3,1,1,0,0.75,0.5,start,8,0
6,True,1.485197199974209,50.0,33.0,1,False,90,1.0,[20. 20.],60,0.96,0.9639475999865681,0.2957268999889493,0,1_diopter_1-0,1,1,0,0.75,0.5,start,8,0
7,True,1.4963462001178414,100.0,50.0,1,False,0,1.0,[20. 20.],68,1.088,1.0939877999480814,0.2933709998615086,0,1_diopter_2-1,2,1,0,0.75,0.5,up,4,0
8,True,1.6851836000569165,100.0,33.0,2,False,0,1.0,[20. 20.],68,1.088,1.0909090000204742,0.3702862001955509,0,2_diopter_2-0,2,1,0,0.75,0.5,up,4,0
9,True,2.827926700003445,50.0,800.0,2,True,0,1.0,[20. 20.],68,1.088,1.093240899965167,0.24441659986041486,0,2_diopter_1-3,2,1,0,0.75,0.5,up,4,0
10,True,2.06784399994649,50.0,33.0,1,False,90,1.0,[20. 20.],68,1.088,1.0920600998215377,0.3405677000992,0,1_diopter_1-0,2,1,0,0.75,0.5,up,4,0
11,True,2.1200000001117587,100.0,800.0,1,True,90,1.0,[20. 20.],68,1.088,1.0942955000791699,0.39268120005726814,0,1_diopter_2-3,2,1,0,0.75,0.5,up,4,0
12,True,2.406975399935618,50.0,100.0,1,True,0,1.0,[20. 20.],68,1.088,1.096337900031358,0.44383600004948676,0,1_diopter_1-2,2,1,0,0.75,0.5,up,4,0
