trial,primeCorrect,primeTime,primeDepth,stimDepth,diopters,nearToFar,orientation,contrast,frequency,intensity,requestedLatency,actualLatency,responseTime,correct,caseLabel,caseTrial,trialsAtStep,stepCorrect,expected,w,direction,stepsize,stepChange
1,True,20.41751729999669,50.0,100.0,1,True,0,1.0,[14. 14.],60,0.96,0.9685853999108076,0.33686310006305575,True,near_1,1,1,1,0.75,0.5,start,8,0
2,True,1.3415699999313802,100.0,33.0,2,False,0,1.0,[14. 14.],60,0.96,0.9636213998310268,0.250125200022012,True,far_2,1,1,1,0.75,0.5,start,8,0
3,True,1.8647765999194235,50.0,800.0,2,True,90,1.0,[14. 14.],60,0.96,0.9653708999976516,0.30063959979452193,True,near_2,1,1,1,0.75,0.5,start,8,0
4,True,2.9314786000177264,50.0,33.0,1,False,0,1.0,[14. 14.],60,0.96,0.9631924999412149,0.270166999893263,True,far_1,1,1,1,0.75,0.5,start,8,0
5,True,1.3889650001656264,100.0,100.0,0,True,90,1.0,[14. 14.],60,0.96,0.9668302999343723,0.31298269983381033,True,near_0,1,1,1,0.75,0.5,start,8,0
6,True,3.607613399857655,800.0,33.0,3,False,90,1.0,[14. 14.],60,0.96,0.9616036999505013,0.3119614999741316,True,far_3,1,1,1,0.75,0.5,start,8,0
7,True,1.4369479001034051,33.0,800.0,3,True,0,1.0,[14. 14.],60,0.96,0.963618699926883,0.3760255000088364,True,near_3,1,1,1,0.75,0.5,start,8,0
8,True,1.1053136999253184,100.0,800.0,1,True,0,1.0,[14. 14.],52,0.8320000000000001,0.834854600019753,0.2816818000283092,True,near_1,2,1,1,0.75,0.5,start,8,0
9,True,1.4022707999683917,50.0,50.0,0,True,0,1.0,[14. 14.],52,0.8320000000000001,0.8834815002046525,0.31781330006197095,True,near_0,2,1,1,0.75,0.5,start,8,0
10,True,3.6057452000677586,33.0,800.0,3,True,90,1.0,[14. 14.],52,0.8320000000000001,0.8364913000259548,0.4681235998868942,True,near_3,2,1,1,0.75,0.5,start,8,0
