trial,primeCorrect,primeTime,primeDepth,stimDepth,diopters,nearToFar,direction,size,intensity,requestedLatency,actualLatency,responseTime,correct,caseLabel,caseTrial,trialsAtStep,stepCorrect,expected,w,direction,stepsize,stepChange
1,True,0,33.0,800.0,3,True,start,0.25,60,0.96,0,0,True,near_3,1,1,1,0.625,0.5,start,16,0
2,True,0,100.0,50.0,1,False,start,0.25,60,0.96,0,0,True,far_1,1,1,1,0.625,0.5,start,16,0
3,True,0,50.0,50.0,0,True,start,0.25,60,0.96,0,0,True,near_0,1,1,1,0.625,0.5,start,16,0
4,True,0,800.0,33.0,3,False,start,0.25,60,0.96,0,0,True,far_3,1,1,1,0.625,0.5,start,16,0
5,True,0,800.0,50.0,2,False,start,0.25,60,0.96,0,0,True,far_2,1,1,1,0.625,0.5,start,16,0
6,True,0,100.0,800.0,1,True,start,0.25,60,0.96,0,0,True,near_1,1,1,1,0.625,0.5,start,16,0
7,True,0,50.0,800.0,2,True,start,0.25,60,0.96,0,0,True,near_2,1,1,1,0.625,0.5,start,16,0
8,True,0,800.0,33.0,3,False,start,0.25,44,0.704,0,0,True,far_3,2,1,1,0.625,1.0,start,16,0
9,True,0,800.0,50.0,2,False,start,0.25,44,0.704,0,0,True,far_2,2,1,1,0.625,1.0,start,16,0
10,True,0,33.0,800.0,3,True,start,0.25,44,0.704,0,0,True,near_3,2,1,1,0.625,1.0,start,16,0
11,True,0,50.0,33.0,1,False,start,0.25,44,0.704,0,0,True,far_1,2,1,1,0.625,1.0,start,16,0
12,True,0,100.0,100.0,0,True,start,0.25,44,0.704,0,0,True,near_0,2,1,1,0.625,1.0,start,16,0
13,True,0,50.0,800.0,2,True,start,0.25,44,0.704,0,0,True,near_2,2,1,1,0.625,1.0,start,16,0
14,True,0,50.0,100.0,1,True,start,0.25,44,0.704,0,0,True,near_1,2,1,1,0.625,1.0,start,16,0
15,True,0,800.0,33.0,3,False,start,0.25,28,0.448,0,0,True,far_3,3,1,1,0.625,1.0,start,16,0
