trial,primeCorrect,primeTime,primeDepth,stimDepth,diopters,nearToFar,direction,size,intensity,requestedLatency,actualLatency,totalLatency,responseTime,correct,caseLabel,caseTrial,trialsAtStep,stepCorrect,expected,w,direction,stepsize,stepChange
1,True,11.680912299998454,800.0,100.0,1,False,start,0.25,60,0.96,1.0181371000071522,1.0181371000071522,0.19995059999928344,True,far_1,1,1,1,0.625,0.5,start,16,0
2,True,1.3342843999998877,33.0,50.0,1,True,start,0.25,60,0.96,0.9847084999928484,0.9847084999928484,0.3503152999910526,True,near_1,1,1,1,0.625,0.5,start,16,0
3,True,2.425697600003332,800.0,33.0,3,False,start,0.25,60,0.96,0.9842421000066679,0.9842421000066679,0.41522760000952985,True,far_3,1,1,1,0.625,0.5,start,16,0
4,True,2.0570300000108546,33.0,100.0,2,True,start,0.25,60,0.96,0.9970862000045599,0.9970862000045599,0.30476030000136234,True,near_2,1,1,1,0.625,0.5,start,16,0
5,True,1.9422919999924488,33.0,33.0,0,True,start,0.25,60,0.96,0.9743285000004107,0.9743285000004107,0.30150590000266675,True,near_0,1,1,1,0.625,0.5,start,16,0
6,True,1.0836427999893203,33.0,800.0,3,True,start,0.25,60,0.96,0.9877673000009963,0.9877673000009963,0.3281442000006791,True,near_3,1,1,1,0.625,0.5,start,16,0
7,True,1.8075537999975495,100.0,33.0,2,False,start,0.25,60,0.96,0.9851620999979787,0.9851620999979787,0.26208639999094885,True,far_2,1,1,1,0.625,0.5,start,16,0
8,True,3.1160742999927606,33.0,800.0,3,True,start,0.25,44,0.704,0.7288013999932446,0.7288013999932446,0.5839897999976529,True,near_3,2,1,1,0.625,1.0,start,16,0
9,True,2.342062600000645,100.0,800.0,1,True,start,0.25,44,0.704,0.7462373000016669,0.7462373000016669,0.42389750000438653,True,near_1,2,1,1,0.625,1.0,start,16,0
10,False,2.9182233000028646,50.0,800.0,2,True,start,0.25,44,0.704,0.7387887999939267,0.7387887999939267,0.3534732999978587,True,near_2,2,1,1,0.625,1.0,start,16,0
11,True,3.503056800007471,50.0,33.0,1,False,start,0.25,44,0.704,0.7250750999955926,0.7250750999955926,0.28202249998867046,True,far_1,2,1,1,0.625,1.0,start,16,0
12,True,1.7963214000046719,800.0,50.0,2,False,start,0.25,44,0.704,0.7412979000073392,0.7412979000073392,0.3056963999988511,True,far_2,2,1,1,0.625,1.0,start,16,0
13,True,5.007681800008868,33.0,33.0,0,True,start,0.25,44,0.704,0.7180704000056721,0.7180704000056721,0.24225029999797698,True,near_0,2,1,1,0.625,1.0,start,16,0
14,True,1.8429642999981297,800.0,33.0,3,False,start,0.25,44,0.704,0.7297325999970781,0.7297325999970781,0.41104199999244884,True,far_3,2,1,1,0.625,1.0,start,16,0
15,True,3.172480799999903,33.0,100.0,2,True,start,0.25,44,0.704,0.7391980999964289,0.7391980999964289,0.45471839999663644,True,near_2,2,1,1,0.625,1.0,start,16,0
16,True,1.3287692000012612,100.0,50.0,1,False,start,0.25,28,0.448,0.4886781999957748,0.4886781999957748,0.7053113000001758,True,far_1,3,1,1,0.625,1.0,start,16,0
