trial,primeIter,primeCorrect,primeTime,primeDepth,stimDepth,diopters,nearToFar,direction,size,intensity,requestedLatency,actualLatency,totalLatency,responseTime,correct,caseLabel,caseTrial,trialsAtStep,stepCorrect,expected,w,direction,stepsize,stepChange
1,1,True,1.3515729999635369,800.0,33.0,3,False,start,0.16666666666666666,60,0.96,0.9877295999904163,0.9877295999904163,0.4240107999648899,True,far_3,1,1,1,0.625,0.5,start,16,0
2,2,True,1.3474742000107653,100.0,800.0,1,True,start,0.16666666666666666,60,0.96,1.018043200019747,1.018043200019747,0.44147080002585426,True,near_1,1,1,1,0.625,0.5,start,16,0
3,3,True,1.9542743999627419,33.0,800.0,3,True,start,0.16666666666666666,60,0.96,0.9987266999669373,0.9987266999669373,0.480499500001315,True,near_3,1,1,1,0.625,0.5,start,16,0
4,1,True,3.8640305000008084,100.0,50.0,1,False,start,0.16666666666666666,60,0.96,1.0082110000075772,1.0082110000075772,0.3419683999964036,True,far_1,1,1,1,0.625,0.5,start,16,0
5,3,True,2.5269552000099793,33.0,100.0,2,True,start,0.16666666666666666,60,0.96,1.007799300015904,1.007799300015904,0.4859083999763243,True,near_2,1,1,1,0.625,0.5,start,16,0
6,2,True,5.070804900024086,33.0,33.0,0,True,start,0.16666666666666666,60,0.96,0.9803552000084892,0.9803552000084892,0.3964120000018738,True,near_0,1,1,1,0.625,0.5,start,16,0
7,5,True,1.6124457999831066,800.0,50.0,2,False,start,0.16666666666666666,60,0.96,1.0315729000139982,1.0315729000139982,0.39758619997883216,True,far_2,1,1,1,0.625,0.5,start,16,0
8,4,True,1.3972002000082284,800.0,33.0,3,False,start,0.16666666666666666,44,0.704,0.7658385999966413,0.7658385999966413,0.614720200013835,True,far_3,2,1,1,0.625,1.0,start,16,0
9,1,True,5.829553699993994,50.0,100.0,1,True,start,0.16666666666666666,44,0.704,0.7564161000191234,0.7564161000191234,0.4752550999983214,True,near_1,2,1,1,0.625,1.0,start,16,0
10,2,True,1.3959935000166297,33.0,800.0,3,True,start,0.16666666666666666,44,0.704,0.7328345999703743,0.7328345999703743,0.9072849999647588,True,near_3,2,1,1,0.625,1.0,start,16,0
