trial,primeCorrect,primeTime,primeDepth,stimDepth,extraDepth,driveFrames,nearToFar,diopters,direction,size,intensity,extraLatency,mainLatency,totalLatency,responseTime,correct,caseLabel,caseTrial,trialsAtStep,stepCorrect,expected,w,direction,stepsize,stepChange
1,True,16.931375599990133,800.0,50.0,33.0,10,False,2,start,0.25,60,0.18104830000083894,1.0235491000057664,1.2045974000066053,0.24761059999582358,True,near-160,1,1,1,0.625,0.5,start,16,0
2,True,2.1928706000035163,800.0,100.0,50.0,0,False,1,start,0.25,60,0,1.0075061000243295,1.0075061000243295,0.32635909999953583,True,near-rnd2,1,1,1,0.625,0.5,start,16,0
3,True,1.5232303000229876,800.0,33.0,50.0,0,False,3,start,0.25,60,0,0.981343299994478,0.981343299994478,0.41482340000220574,True,near-rnd3,1,1,1,0.625,0.5,start,16,0
4,True,2.3645382999966387,800.0,50.0,33.0,15,False,2,start,0.25,60,0.2533771999878809,1.0003834000090137,1.2537605999968946,0.31652609998127446,True,near-240,1,1,1,0.625,0.5,start,16,0
5,True,1.6485872000048403,800.0,800.0,50.0,0,False,0,start,0.25,60,0,0.9938827000150923,0.9938827000150923,0.4201220999821089,True,near-rndm,1,1,1,0.625,0.5,start,16,0
6,True,1.3283233999973163,800.0,50.0,33.0,5,False,2,start,0.25,60,0.08665149999433197,1.0130040999792982,1.0996555999736302,0.271316400001524,True,near-080,1,1,1,0.625,0.5,start,16,0
7,True,2.2229249000083655,800.0,50.0,33.0,0,False,2,start,0.25,60,0,0.9966989999811631,0.9966989999811631,0.23345689999405295,True,near-000,1,1,1,0.625,0.5,start,16,0
8,True,1.8774858000106178,800.0,50.0,33.0,15,False,2,start,0.25,44,0.25092920000315644,0.8081814000033773,1.0591106000065338,0.3705352999968454,True,near-240,2,1,1,0.625,1.0,start,16,0
9,True,1.628484600019874,800.0,33.0,50.0,0,False,3,start,0.25,44,0,0.7264324999996461,0.7264324999996461,0.8132496000034735,False,near-rnd3,2,1,0,0.625,1.0,start,16,0
10,True,6.591314300021622,800.0,50.0,33.0,0,False,2,start,0.25,44,0,0.742182000016328,0.742182000016328,0.35151830001268536,True,near-000,2,1,1,0.625,1.0,start,16,0
11,True,1.0651945999998134,800.0,800.0,50.0,0,False,0,start,0.25,44,0,0.7271084999956656,0.7271084999956656,0.42738269999972545,True,near-rndm,2,1,1,0.625,1.0,start,16,0
12,True,1.9498159000067972,800.0,50.0,33.0,10,False,2,start,0.25,44,0.1714291999815032,0.7560940999828745,0.9275232999643777,0.3353939999942668,True,near-160,2,1,1,0.625,1.0,start,16,0
13,True,1.5992517000122461,800.0,50.0,33.0,5,False,2,start,0.25,44,0.09283599999616854,0.7443233000230975,0.8371593000192661,0.5331571999995504,True,near-080,2,1,1,0.625,1.0,start,16,0
14,True,1.875078899989603,800.0,100.0,50.0,0,False,1,start,0.25,44,0,0.7438665000081528,0.7438665000081528,0.3184453000139911,True,near-rnd2,2,1,1,0.625,1.0,start,16,0
15,True,1.2960961000062525,800.0,50.0,33.0,0,False,2,start,0.25,28,0,0.4884425000054762,0.4884425000054762,0.6941820000065491,True,near-000,3,1,1,0.625,1.0,start,16,0
16,True,2.336060700006783,800.0,100.0,50.0,0,False,1,start,0.25,28,0,0.4927179999940563,0.4927179999940563,0.44584100000793114,True,near-rnd2,3,1,1,0.625,1.0,start,16,0
17,True,1.217168400005903,800.0,50.0,33.0,15,False,2,start,0.25,28,0.2488821999868378,0.48555990000022575,0.7344420999870636,0.5356203999835998,True,near-240,3,1,1,0.625,1.0,start,16,0
18,True,1.2704773000150453,800.0,50.0,33.0,5,False,2,start,0.25,28,0.09695920001831837,0.486253899987787,0.5832131000061054,0.6116350000083912,True,near-080,3,1,1,0.625,1.0,start,16,0
19,True,2.3849484999955166,800.0,50.0,33.0,10,False,2,start,0.25,28,0.16803559998515993,0.4948238000215497,0.6628594000067096,0.43147619999945164,True,near-160,3,1,1,0.625,1.0,start,16,0
20,True,1.4970598999934737,800.0,33.0,50.0,0,False,3,start,0.25,44,0,0.7239263000083156,0.7239263000083156,0.9162122999841813,False,near-rnd3,3,2,0,1.25,1.0,start,16,0
21,True,2.314257100020768,800.0,800.0,50.0,0,False,0,start,0.25,28,0,0.480075500003295,0.480075500003295,0.516904699994484,True,near-rndm,3,1,1,0.625,1.0,start,16,0
22,True,1.1668977000226732,800.0,50.0,33.0,10,False,2,start,0.25,12,0.1665215000102762,0.2424466999946162,0.4089682000048924,1.2704633999965154,True,near-160,4,1,1,0.625,0.5,start,16,0
