trial,primeIter,primeCorrect,primeTime,primeDepth,stimDepth,extraDepth,driveFrames,nearToFar,diopters,direction,size,intensity,extraLatency,mainLatency,totalLatency,responseTime,correct,caseLabel,caseTrial,trialsAtStep,stepCorrect,expected,w,direction,stepsize,stepChange
1,2,True,2.8804352000006475,800.0,100.0,50.0,0,False,1,start,0.16666666666666666,60,0,1.015510199998971,1.015510199998971,0.33614670000679325,True,near-rnd2,1,1,1,0.625,0.5,start,16,0
2,1,True,2.125572500008275,800.0,50.0,33.0,10,False,2,start,0.16666666666666666,60,0.17670670000370592,1.0128505999891786,1.1895572999928845,0.28442339999310207,True,near-160,1,1,1,0.625,0.5,start,16,0
3,1,True,6.7321750999981305,800.0,800.0,50.0,0,False,0,start,0.16666666666666666,60,0,0.9929390000033891,0.9929390000033891,1.0642903999978444,True,near-rndm,1,1,1,0.625,0.5,start,16,0
4,1,True,3.3836573000007775,800.0,33.0,50.0,0,False,3,start,0.16666666666666666,60,0,1.0205252000014298,1.0205252000014298,0.5337871000083396,True,near-rnd3,1,1,1,0.625,0.5,start,16,0
5,2,True,5.0841755000001285,800.0,50.0,33.0,15,False,2,start,0.16666666666666666,60,0.2577598000061698,1.024336200003745,1.2820960000099149,4.8718719000025885,True,near-240,1,1,1,0.625,0.5,start,16,0
6,1,True,8.308590100001311,800.0,50.0,33.0,0,False,2,start,0.16666666666666666,60,0,1.0047487000119872,1.0047487000119872,1.428334600001108,False,near-000,1,1,0,0.625,0.5,start,16,0
7,1,True,2.955509000006714,800.0,50.0,33.0,5,False,2,start,0.16666666666666666,60,0.08753220000653528,0.9995265000034124,1.0870587000099476,0.671933400008129,True,near-080,1,1,1,0.625,0.5,start,16,0
8,2,True,1.8223878999997396,800.0,800.0,50.0,0,False,0,start,0.16666666666666666,44,0,0.74309920000087,0.74309920000087,1.2742026000050828,False,near-rndm,2,1,0,0.625,1.0,start,16,0
9,2,True,2.563603799993871,800.0,50.0,33.0,15,False,2,start,0.16666666666666666,44,0.25309650000417605,0.7589245999988634,1.0120211000030395,0.5311607999901753,True,near-240,2,1,1,0.625,1.0,start,16,0
10,1,True,5.798203600003035,800.0,33.0,50.0,0,False,3,start,0.16666666666666666,44,0,0.725506700007827,0.725506700007827,1.4735451000015019,False,near-rnd3,2,1,0,0.625,1.0,start,16,0
11,1,True,1.1361226999870269,800.0,100.0,50.0,0,False,1,start,0.16666666666666666,44,0,0.7531471999973292,0.7531471999973292,1.3024067000078503,True,near-rnd2,2,1,1,0.625,1.0,start,16,0
12,2,True,1.2433628999860957,800.0,50.0,33.0,0,False,2,start,0.16666666666666666,60,0,1.005732399993576,1.005732399993576,3.588747500005411,True,near-000,2,2,1,1.25,1.0,start,16,0
13,4,True,1.1108966000028886,800.0,50.0,33.0,5,False,2,start,0.16666666666666666,44,0.11027740000281483,0.7825325000012526,0.8928099000040675,1.111191299991333,True,near-080,2,1,1,0.625,1.0,start,16,0
14,1,True,3.25251949999074,800.0,50.0,33.0,10,False,2,start,0.16666666666666666,44,0.1715284999954747,0.7542169000080321,0.9257454000035068,0.555068299989216,True,near-160,2,1,1,0.625,1.0,start,16,0
