trial,primeCorrect,primeTime,primeDepth,stimDepth,extraDepth,driveFrames,nearToFar,diopters,direction,size,intensity,extraLatency,mainLatency,totalLatency,responseTime,correct,caseLabel,caseTrial,trialsAtStep,stepCorrect,expected,w,direction,stepsize,stepChange
1,True,7.877072799999951,800.0,33.0,50.0,0,False,3,start,0.25,60,0,1.0364294999999402,1.0364294999999402,0.8665228000008938,True,near-rnd3,1,1,1,0.625,0.5,start,16,0
2,True,6.552000300000145,800.0,50.0,33.0,5,False,2,start,0.25,60,0.09225809999952617,0.9945829000007507,1.0868410000002768,0.33072529999844846,True,near-080,1,1,1,0.625,0.5,start,16,0
3,True,5.80085439999857,800.0,100.0,50.0,0,False,1,start,0.25,60,0,0.9961982000004355,0.9961982000004355,0.48679900000024645,True,near-rnd2,1,1,1,0.625,0.5,start,16,0
4,True,1.9451413999995566,800.0,50.0,33.0,10,False,2,start,0.25,60,0.17026260000056936,0.9987478000002739,1.1690104000008432,0.619670900001438,True,near-160,1,1,1,0.625,0.5,start,16,0
5,True,4.266380400000344,800.0,800.0,50.0,0,False,0,start,0.25,60,0,0.9864741000001231,0.9864741000001231,1.564233900000545,True,near-rndm,1,1,1,0.625,0.5,start,16,0
6,True,2.7797146000011708,800.0,50.0,33.0,0,False,2,start,0.25,60,0,0.9955449999997654,0.9955449999997654,0.27775149999979476,True,near-000,1,1,1,0.625,0.5,start,16,0
7,True,3.0804269000000204,800.0,50.0,33.0,15,False,2,start,0.25,60,0.2551493999999366,1.0006460000004154,1.255795400000352,0.40785090000099444,True,near-240,1,1,1,0.625,0.5,start,16,0
8,True,3.6323771000006673,800.0,33.0,50.0,0,False,3,start,0.25,44,0,0.7273906999998871,0.7273906999998871,0.5990031000001181,True,near-rnd3,2,1,1,0.625,1.0,start,16,0
9,False,1.9812905999988288,800.0,100.0,50.0,0,False,1,start,0.25,44,0,0.7519253000009485,0.7519253000009485,0.4273315000009461,True,near-rnd2,2,1,1,0.625,1.0,start,16,0
10,True,5.527123399999255,800.0,50.0,33.0,15,False,2,start,0.25,44,0.25256199999967066,0.751833300000726,1.0043953000003967,0.5426781999995001,True,near-240,2,1,1,0.625,1.0,start,16,0
11,True,3.1725507999999536,800.0,50.0,33.0,10,False,2,start,0.25,44,0.16970470000160276,0.7490247999994608,0.9187295000010636,0.3373702000008052,True,near-160,2,1,1,0.625,1.0,start,16,0
12,True,4.429742399999668,800.0,50.0,33.0,5,False,2,start,0.25,44,0.08835440000075323,0.7446368000000803,0.8329912000008335,0.20635199999924225,True,near-080,2,1,1,0.625,1.0,start,16,0
13,True,1.8280061000004935,800.0,50.0,33.0,0,False,2,start,0.25,44,0,0.7447944000014104,0.7447944000014104,0.11854949999906239,True,near-000,2,1,1,0.625,1.0,start,16,0
14,True,3.5916870000000927,800.0,800.0,50.0,0,False,0,start,0.25,44,0,0.7315725999997085,0.7315725999997085,0.846869400000287,True,near-rndm,2,1,1,0.625,1.0,start,16,0
15,False,5.472224300001471,800.0,50.0,33.0,0,False,2,start,0.25,28,0,0.5534703999983321,0.5534703999983321,0.5998412000008102,True,near-000,3,1,1,0.625,1.0,start,16,0
16,True,2.3063908999993146,800.0,33.0,50.0,0,False,3,start,0.25,28,0,0.47409870000046794,0.47409870000046794,0.9890197000004264,True,near-rnd3,3,1,1,0.625,1.0,start,16,0
17,True,2.671713499999896,800.0,100.0,50.0,0,False,1,start,0.25,44,0,0.7462023000007321,0.7462023000007321,0.47055229999932635,True,near-rnd2,2,1,1,0.625,1.0,start,16,0
18,True,1.7712590000010096,800.0,50.0,33.0,15,False,2,start,0.25,28,0.25243090000003576,0.4974294000003283,0.7498603000003641,0.6974220000010973,True,near-240,3,1,1,0.625,1.0,start,16,0
19,True,2.7642945000006875,800.0,50.0,33.0,10,False,2,start,0.25,28,0.175169599999208,0.4961633000002621,0.6713328999994701,0.43067210000117484,True,near-160,3,1,1,0.625,1.0,start,16,0
20,True,2.4908855999983643,800.0,50.0,33.0,5,False,2,start,0.25,28,0.09367849999944156,0.4870014000007359,0.5806799000001774,0.6853721000006772,True,near-080,3,1,1,0.625,1.0,start,16,0
21,True,7.64577780000036,800.0,800.0,50.0,0,False,0,start,0.25,28,0,0.47283319999951345,0.47283319999951345,0.5279947999988508,True,near-rndm,3,1,1,0.625,1.0,start,16,0
22,True,6.006841599999461,800.0,100.0,50.0,0,False,1,start,0.25,28,0,0.4877697000010812,0.4877697000010812,0.49773650000133784,True,near-rnd2,3,1,1,0.625,1.0,start,16,0
