trial,primeCorrect,primeTime,primeDepth,stimDepth,extraDepth,driveFrames,nearToFar,diopters,direction,size,intensity,extraLatency,mainLatency,totalLatency,responseTime,correct,caseLabel,caseTrial,trialsAtStep,stepCorrect,expected,w,direction,stepsize,stepChange
4,TRUE,1.3268511,33,100,800,0,TRUE,2,start,0.25,60,0,0.9963495,0.9963495,0.7108546,TRUE,far-000,1,1,1,0.75,0.5,start,16,0
10,TRUE,1.3285474,33,100,800,0,TRUE,2,start,0.25,60,0,0.9932106,0.9932106,0.3343922,TRUE,far-000,2,2,2,1.5,1,start,16,0
15,TRUE,2.121056,33,100,800,0,TRUE,2,start,0.25,60,0,1.0048005,1.0048005,0.3906012,TRUE,far-000,3,3,3,2.25,1,start,16,0
20,TRUE,5.2470654,33,100,800,0,TRUE,2,down,0.25,44,0,0.7439386,0.7439386,0.6207151,TRUE,far-000,4,1,1,0.75,0.5,down,16,0
23,TRUE,1.2975263,33,100,800,0,TRUE,2,down,0.25,44,0,0.7351466,0.7351466,0.5117209,TRUE,far-000,5,2,2,1.5,1,down,16,0
26,TRUE,1.6014246,33,100,800,0,TRUE,2,down,0.25,44,0,0.7354086,0.7354086,0.3989258,TRUE,far-000,6,3,3,2.25,1,down,16,0
32,TRUE,7.0238263,33,100,800,0,TRUE,2,down,0.25,28,0,0.4799114,0.4799114,1.0446082,FALSE,far-000,7,1,0,0.75,0.5,down,16,0
39,TRUE,1.6800764,33,100,800,0,TRUE,2,down,0.25,28,0,0.4818013,0.4818013,0.808587,TRUE,far-000,8,2,1,1.5,1,down,16,0
43,FALSE,2.0491756,33,100,800,0,TRUE,2,down,0.25,28,0,0.4809059,0.4809059,0.6305038,TRUE,far-000,9,3,2,2.25,1,down,16,0
47,TRUE,1.6884149,33,100,800,0,TRUE,2,down,0.25,28,0,0.4837765,0.4837765,0.708383,FALSE,far-000,9,3,1,2.25,1,down,16,0
51,TRUE,1.0544014,33,100,800,0,TRUE,2,up,0.25,44,0,0.7365186,0.7365186,0.6739268,TRUE,far-000,10,1,1,0.75,0.5,up,8,0
58,TRUE,1.4772005,33,100,800,0,TRUE,2,up,0.25,44,0,0.7363767,0.7363767,0.4834241,TRUE,far-000,11,2,2,1.5,1,up,8,0
65,TRUE,2.0023908,33,100,800,0,TRUE,2,up,0.25,44,0,0.7394828,0.7394828,0.460533,TRUE,far-000,12,3,3,2.25,1,up,8,0
66,TRUE,1.257363,33,100,800,0,TRUE,2,up,0.25,44,0,0.7396671,0.7396671,0.4617177,TRUE,far-000,13,4,4,3,1,up,8,0
72,TRUE,1.4873136,33,100,800,0,TRUE,2,up,0.25,44,0,0.7403908,0.7403908,0.5619471,TRUE,far-000,14,5,5,3.75,1,up,8,0
76,TRUE,5.6055829,33,100,800,0,TRUE,2,down,0.25,36,0,0.6072893,0.6072893,0.9400592,TRUE,far-000,15,1,1,0.75,1,down,4,0
