trial,primeIter,primeCorrect,primeTime,primeDepth,stimDepth,extraDepth,driveFrames,nearToFar,diopters,direction,size,intensity,extraLatency,mainLatency,totalLatency,responseTime,correct,caseLabel,caseTrial,trialsAtStep,stepCorrect,expected,w,direction,stepsize,stepChange
1,2,True,2.0792255999986082,800.0,33.0,50.0,0,False,3,start,0.16666666666666666,60,0,0.9977877000055742,0.9977877000055742,0.3635315999854356,True,near-rnd3,1,1,1,0.625,0.5,start,16,0
2,2,True,2.3200132999918424,800.0,50.0,33.0,15,False,2,start,0.16666666666666666,60,0.2579128000070341,1.1290603000088595,1.3869731000158936,0.08762360000400804,True,near-240,1,1,1,0.625,0.5,start,16,0
3,4,True,0.9679725000169128,800.0,50.0,33.0,5,False,2,start,0.16666666666666666,60,0.1202155000064522,1.0223808999871835,1.1425963999936357,0.24603149999165908,True,near-080,1,1,1,0.625,0.5,start,16,0
4,1,True,2.4968649999937043,800.0,100.0,50.0,0,False,1,start,0.16666666666666666,60,0,1.0041541999962647,1.0041541999962647,0.12500629998976365,True,near-rnd2,1,1,1,0.625,0.5,start,16,0
5,4,True,1.6204597000032663,800.0,800.0,50.0,0,False,0,start,0.16666666666666666,60,0,1.0267941000056453,1.0267941000056453,0.22041229999740608,True,near-rndm,1,1,1,0.625,0.5,start,16,0
6,2,True,1.839804599992931,800.0,50.0,33.0,0,False,2,start,0.16666666666666666,60,0,1.0175289000035264,1.0175289000035264,0.3351603999908548,True,near-000,1,1,1,0.625,0.5,start,16,0
7,1,True,2.0257044000027236,800.0,50.0,33.0,10,False,2,start,0.16666666666666666,60,0.17136639999807812,1.0043889000080526,1.1757553000061307,0.3647746999922674,True,near-160,1,1,1,0.625,0.5,start,16,0
8,1,True,1.7610278000065591,800.0,50.0,33.0,5,False,2,start,0.16666666666666666,44,0.08993499999633059,0.7409840000036638,0.8309189999999944,0.5132745000009891,True,near-080,2,1,1,0.625,1.0,start,16,0
9,2,True,1.9795472999976482,800.0,33.0,50.0,0,False,3,start,0.16666666666666666,44,0,0.7373892999894451,0.7373892999894451,0.9328173999965657,True,near-rnd3,2,1,1,0.625,1.0,start,16,0
10,3,True,1.2753945000004023,800.0,100.0,50.0,0,False,1,start,0.16666666666666666,44,0,0.7729008999885991,0.7729008999885991,0.36977560000377707,True,near-rnd2,2,1,1,0.625,1.0,start,16,0
11,2,True,1.0743776999879628,800.0,800.0,50.0,0,False,0,start,0.16666666666666666,44,0,0.7471209000214003,0.7471209000214003,0.39089040001272224,True,near-rndm,2,1,1,0.625,1.0,start,16,0
12,1,True,1.2336953000049107,800.0,50.0,33.0,0,False,2,start,0.16666666666666666,44,0,0.7515701999946032,0.7515701999946032,0.6784727000049315,True,near-000,2,1,1,0.625,1.0,start,16,0
13,1,True,0.9524563000013586,800.0,50.0,33.0,10,False,2,start,0.16666666666666666,44,0.16747899999609217,0.7428476000204682,0.9103266000165604,0.44688160001533106,True,near-160,2,1,1,0.625,1.0,start,16,0
14,2,True,1.1859281999932136,800.0,50.0,33.0,15,False,2,start,0.16666666666666666,44,0.2586543000070378,0.7550067999982275,1.0136611000052653,0.23053289999370463,True,near-240,2,1,1,0.625,1.0,start,16,0
15,3,True,2.58990360001917,800.0,50.0,33.0,15,False,2,start,0.16666666666666666,28,0.2631136999989394,0.5026224000030197,0.7657361000019591,0.36589779998757876,True,near-240,3,1,1,0.625,1.0,start,16,0
16,2,True,1.6221294999995735,800.0,33.0,50.0,0,False,3,start,0.16666666666666666,28,0,0.5754681999969762,0.5754681999969762,1.327104900003178,True,near-rnd3,3,1,1,0.625,1.0,start,16,0
17,2,True,2.325399399996968,800.0,50.0,33.0,10,False,2,start,0.16666666666666666,28,0.18085850001079962,0.5097246999794152,0.6905831999902148,0.5337284000124782,True,near-160,3,1,1,0.625,1.0,start,16,0
18,2,True,1.3082963000051677,800.0,800.0,50.0,0,False,0,start,0.16666666666666666,28,0,0.4813241000229027,0.4813241000229027,0.4588799999910407,True,near-rndm,3,1,1,0.625,1.0,start,16,0
19,2,True,1.0468958000128623,800.0,50.0,33.0,5,False,2,start,0.16666666666666666,28,0.09413579999818467,0.5082355000195093,0.602371300017694,0.530222400004277,True,near-080,3,1,1,0.625,1.0,start,16,0
20,1,True,2.2116645999776665,800.0,100.0,50.0,0,False,1,start,0.16666666666666666,28,0,0.49413939999067225,0.49413939999067225,0.6495940999884624,True,near-rnd2,3,1,1,0.625,1.0,start,16,0
21,4,True,2.06068240001332,800.0,50.0,33.0,0,False,2,start,0.16666666666666666,28,0,0.5102265999885276,0.5102265999885276,0.6655124000099022,False,near-000,3,1,0,0.625,1.0,start,16,0
22,2,True,1.1788047999725677,800.0,800.0,50.0,0,False,0,start,0.16666666666666666,12,0,0.23623760000918992,0.23623760000918992,0.6529384999885224,True,near-rndm,4,1,1,0.625,0.5,start,16,0
23,1,True,1.9585836000042036,800.0,50.0,33.0,10,False,2,start,0.16666666666666666,12,0.17186910001328215,0.23149299999931827,0.4033621000126004,0.7871031999820843,False,near-160,4,1,0,0.625,0.5,start,16,0
24,2,True,1.112965999986045,800.0,50.0,33.0,5,False,2,start,0.16666666666666666,12,0.09057000000029802,0.25422219999018125,0.3447921999904793,0.8660348000121303,True,near-080,4,1,1,0.625,0.5,start,16,0
25,5,True,1.863409200013848,800.0,33.0,50.0,0,False,3,start,0.16666666666666666,12,0,0.24957950002863072,0.24957950002863072,2.6095568999880925,True,near-rnd3,4,1,1,0.625,0.5,start,16,0
26,3,True,1.2055633999989368,800.0,50.0,33.0,15,False,2,start,0.16666666666666666,12,0.26068750000558794,0.24837539999862202,0.50906290000421,1.1720150999899488,False,near-240,4,1,0,0.625,0.5,start,16,0
27,1,True,4.69870560002164,800.0,100.0,50.0,0,False,1,start,0.16666666666666666,12,0,0.23415380000369623,0.23415380000369623,1.241778700001305,False,near-rnd2,4,1,0,0.625,0.5,start,16,0
28,3,True,3.354730599996401,800.0,50.0,33.0,0,False,2,up,0.16666666666666666,44,0,0.766759699996328,0.766759699996328,0.5595868999953382,True,near-000,4,1,1,0.625,0.5,up,16,0
29,3,True,1.8814327000000048,800.0,50.0,33.0,10,False,2,up,0.16666666666666666,28,0.18996160000097007,0.5124452000018209,0.702406800002791,0.4817668000177946,True,near-160,5,1,1,0.625,0.5,up,16,0
30,3,True,1.2268610000028275,800.0,33.0,50.0,0,False,3,start,0.16666666666666666,0,0,0.03504849999444559,0.03504849999444559,2.1484989000018686,False,near-rnd3,5,1,0,0.625,0.5,start,16,0
31,2,True,1.0662607999984175,800.0,50.0,33.0,15,False,2,up,0.16666666666666666,28,0.258517500013113,0.5095250000013039,0.7680425000144169,0.48384070000611246,True,near-240,5,1,1,0.625,0.5,up,16,0
32,3,True,1.4208848999987822,800.0,50.0,33.0,0,False,2,up,0.16666666666666666,44,0,0.7619311999878846,0.7619311999878846,0.43910289998166263,True,near-000,5,2,2,1.25,1.0,up,16,0
33,1,True,5.1191267000103835,800.0,100.0,50.0,0,False,1,up,0.16666666666666666,28,0,0.4963958000007551,0.4963958000007551,0.6230921000242233,True,near-rnd2,5,1,1,0.625,0.5,up,16,0
34,2,True,0.8094884000020102,800.0,50.0,33.0,5,False,2,start,0.16666666666666666,0,0.09878090000711381,0.049452100007329136,0.14823300001444295,0.9603345000068657,False,near-080,5,1,0,0.625,0.5,start,16,0
