trial,primeCorrect,primeTime,primeDepth,stimDepth,extraDepth,driveFrames,nearToFar,diopters,direction,size,intensity,extraLatency,mainLatency,totalLatency,responseTime,correct,caseLabel,caseTrial,trialsAtStep,stepCorrect,expected,w,direction,stepsize,stepChange
1,True,2.4349929000018165,800.0,50.0,33.0,5,False,2,start,0.25,60,0.0902932999888435,1.0048494000220671,1.0951427000109106,3.363303399994038,True,near-080,1,1,1,0.625,0.5,start,16,0
2,True,1.5516556999937166,800.0,50.0,33.0,15,False,2,start,0.25,60,0.25329050002619624,0.9958569000009447,1.249147400027141,0.583150000020396,True,near-240,1,1,1,0.625,0.5,start,16,0
3,True,4.193154299980961,800.0,100.0,50.0,0,False,1,start,0.25,60,0,0.9985924999928102,0.9985924999928102,2.589131600019755,True,near-rnd2,1,1,1,0.625,0.5,start,16,0
4,True,1.379147199972067,800.0,33.0,50.0,0,False,3,start,0.25,60,0,0.982736300007673,0.982736300007673,1.387774700007867,True,near-rnd3,1,1,1,0.625,0.5,start,16,0
5,True,1.4869267999893054,800.0,50.0,33.0,10,False,2,start,0.25,60,0.17315300001064315,1.0087562999979127,1.1819093000085559,0.6193211000063457,True,near-160,1,1,1,0.625,0.5,start,16,0
6,True,1.755437300016638,800.0,50.0,33.0,0,False,2,start,0.25,60,0,0.9993051000055857,0.9993051000055857,0.6337675000249874,True,near-000,1,1,1,0.625,0.5,start,16,0
7,True,2.1370694000215735,800.0,800.0,50.0,0,False,0,start,0.25,60,0,0.9928367999964394,0.9928367999964394,0.4805279000138398,True,near-rndm,1,1,1,0.625,0.5,start,16,0
8,True,1.506883000023663,800.0,800.0,50.0,0,False,0,start,0.25,44,0,0.7310049000079744,0.7310049000079744,0.6392395999864675,True,near-rndm,2,1,1,0.625,1.0,start,16,0
9,True,1.4342275999952108,800.0,33.0,50.0,0,False,3,start,0.25,44,0,0.7237223999982234,0.7237223999982234,1.074942299979739,True,near-rnd3,2,1,1,0.625,1.0,start,16,0
10,True,2.458513599995058,800.0,50.0,33.0,10,False,2,start,0.25,44,0.17200759999104775,0.7488705000141636,0.9208781000052113,0.7970638000115287,True,near-160,2,1,1,0.625,1.0,start,16,0
11,True,2.3419922000030056,800.0,50.0,33.0,5,False,2,start,0.25,44,0.09068310001748614,0.7403944999969099,0.831077600014396,1.097623300011037,True,near-080,2,1,1,0.625,1.0,start,16,0
12,True,1.7958652999950573,800.0,50.0,33.0,0,False,2,start,0.25,44,0,0.7421260999981314,0.7421260999981314,1.068670699984068,True,near-000,2,1,1,0.625,1.0,start,16,0
13,True,2.0243148999870755,800.0,50.0,33.0,15,False,2,start,0.25,44,0.2484208999958355,0.7417662999941967,0.9901871999900322,0.49179869997897185,True,near-240,2,1,1,0.625,1.0,start,16,0
14,True,2.290270800003782,800.0,100.0,50.0,0,False,1,start,0.25,44,0,0.7391203000152018,0.7391203000152018,0.5944720999978017,True,near-rnd2,2,1,1,0.625,1.0,start,16,0
15,True,2.0684540000220295,800.0,50.0,33.0,5,False,2,start,0.25,28,0.09260689999791794,0.48348249998525716,0.5760893999831751,0.9768370999954641,True,near-080,3,1,1,0.625,1.0,start,16,0
16,True,2.578851800004486,800.0,800.0,50.0,0,False,0,start,0.25,28,0,0.47562070001731627,0.47562070001731627,1.1459889999823645,True,near-rndm,3,1,1,0.625,1.0,start,16,0
17,True,1.3773371999850497,800.0,100.0,50.0,0,False,1,start,0.25,28,0,0.4949594999779947,0.4949594999779947,1.0056021999916993,True,near-rnd2,3,1,1,0.625,1.0,start,16,0
18,True,2.028591900016181,800.0,50.0,33.0,0,False,2,start,0.25,28,0,0.4897893000161275,0.4897893000161275,1.3640700000105426,False,near-000,3,1,0,0.625,1.0,start,16,0
19,True,2.0157266999885906,800.0,50.0,33.0,15,False,2,start,0.25,28,0.24828830000478774,0.49441980000119656,0.7427081000059843,1.5255234999931417,True,near-240,3,1,1,0.625,1.0,start,16,0
20,True,1.8962100000062492,800.0,50.0,33.0,10,False,2,start,0.25,28,0.16968309998628683,0.48433000000659376,0.6540130999928806,0.6575063000200316,True,near-160,3,1,1,0.625,1.0,start,16,0
21,True,2.7666742999863345,800.0,33.0,50.0,0,False,3,start,0.25,28,0,0.4676484999945387,0.4676484999945387,2.911573600023985,False,near-rnd3,3,1,0,0.625,1.0,start,16,0
22,True,3.0154223999998067,800.0,50.0,33.0,15,False,2,start,0.25,12,0.25123990001156926,0.2400084999972023,0.49124840000877157,1.3681092000042554,True,near-240,4,1,1,0.625,0.5,start,16,0
