trial,primeIter,primeCorrect,primeTime,primeDepth,stimDepth,extraDepth,driveFrames,nearToFar,diopters,direction,size,intensity,extraLatency,mainLatency,totalLatency,responseTime,correct,caseLabel,caseTrial,trialsAtStep,stepCorrect,expected,w,direction,stepsize,stepChange
1,1,True,2.9883457000833005,800.0,800.0,50.0,0,False,0,start,0.16666666666666666,60,0,0.9932353999465704,0.9932353999465704,0.37328939989674836,True,near-rndm,1,1,1,0.625,0.5,start,16,0
2,2,True,1.1667678999947384,800.0,50.0,33.0,15,False,2,start,0.16666666666666666,60,0.25229099998250604,1.0166398999281228,1.2689308999106288,0.3389910999685526,True,near-240,1,1,1,0.625,0.5,start,16,0
3,2,True,1.4639405999332666,800.0,50.0,33.0,5,False,2,start,0.16666666666666666,60,0.09629979997407645,1.0194527000421658,1.1157525000162423,0.3602604999905452,True,near-080,1,1,1,0.625,0.5,start,16,0
4,1,True,3.9520854000002146,800.0,50.0,33.0,10,False,2,start,0.16666666666666666,60,0.1706222000066191,1.0065564999822527,1.1771786999888718,0.08908730000257492,True,near-160,1,1,1,0.625,0.5,start,16,0
5,4,True,1.1634197999956086,800.0,50.0,33.0,0,False,2,start,0.16666666666666666,60,0,1.0232802999671549,1.0232802999671549,0.3508193000452593,True,near-000,1,1,1,0.625,0.5,start,16,0
6,1,True,1.2958410999272019,800.0,33.0,50.0,0,False,3,start,0.16666666666666666,60,0,0.9843758000060916,0.9843758000060916,0.5164570999331772,True,near-rnd3,1,1,1,0.625,0.5,start,16,0
7,2,True,1.396926200017333,800.0,100.0,50.0,0,False,1,start,0.16666666666666666,60,0,1.0212773999664932,1.0212773999664932,0.3985773999011144,True,near-rnd2,1,1,1,0.625,0.5,start,16,0
8,2,True,0.9771174999186769,800.0,100.0,50.0,0,False,1,start,0.16666666666666666,44,0,0.7531116000609472,0.7531116000609472,0.5096319000003859,True,near-rnd2,2,1,1,0.625,1.0,start,16,0
9,3,True,1.547654900001362,800.0,50.0,33.0,15,False,2,start,0.16666666666666666,44,0.2604534999700263,0.7822065999498591,1.0426600999198854,0.3350609999615699,True,near-240,2,1,1,0.625,1.0,start,16,0
10,3,True,1.1990672999527305,800.0,800.0,50.0,0,False,0,start,0.16666666666666666,44,0,0.7514919999521226,0.7514919999521226,0.4323148999828845,True,near-rndm,2,1,1,0.625,1.0,start,16,0
11,1,True,1.8963881999952719,800.0,33.0,50.0,0,False,3,start,0.16666666666666666,44,0,0.7269357999321073,0.7269357999321073,0.7336237999843433,True,near-rnd3,2,1,1,0.625,1.0,start,16,0
12,1,True,5.560342299984768,800.0,50.0,33.0,10,False,2,start,0.16666666666666666,44,0.1739756999304518,0.7484816999640316,0.9224573998944834,0.3973184999777004,True,near-160,2,1,1,0.625,1.0,start,16,0
13,2,True,5.829296000069007,800.0,50.0,33.0,5,False,2,start,0.16666666666666666,44,0.09003690001554787,0.7579371000174433,0.8479740000329912,0.325301899923943,True,near-080,2,1,1,0.625,1.0,start,16,0
14,3,True,1.272687999997288,800.0,50.0,33.0,0,False,2,start,0.16666666666666666,44,0,0.7531848000362515,0.7531848000362515,0.43592000007629395,True,near-000,2,1,1,0.625,1.0,start,16,0
15,2,True,1.0778605999657884,800.0,50.0,33.0,0,False,2,start,0.16666666666666666,28,0,0.5044120999518782,0.5044120999518782,0.7493908999022096,True,near-000,3,1,1,0.625,1.0,start,16,0
16,3,True,2.3451733000110835,800.0,50.0,33.0,10,False,2,start,0.16666666666666666,28,0.17482970003038645,0.49847410002257675,0.6733038000529632,0.3897861000150442,True,near-160,3,1,1,0.625,1.0,start,16,0
17,2,True,4.207715700031258,800.0,50.0,33.0,15,False,2,start,0.16666666666666666,28,0.2567981999600306,0.5043294000206515,0.7611275999806821,0.7749018999747932,True,near-240,3,1,1,0.625,1.0,start,16,0
18,2,True,2.6907091999892145,800.0,50.0,33.0,5,False,2,start,0.16666666666666666,28,0.09329109999816865,0.49621529993601143,0.5895063999341801,0.5596051999600604,True,near-080,3,1,1,0.625,1.0,start,16,0
19,2,True,3.9552948999917135,800.0,100.0,50.0,0,False,1,start,0.16666666666666666,28,0,0.49950679996982217,0.49950679996982217,0.7972328000469133,True,near-rnd2,3,1,1,0.625,1.0,start,16,0
20,1,True,4.178440200048499,800.0,800.0,50.0,0,False,0,start,0.16666666666666666,28,0,0.47815360000822693,0.47815360000822693,0.6489851999795064,True,near-rndm,3,1,1,0.625,1.0,start,16,0
21,3,True,1.2444950999924913,800.0,33.0,50.0,0,False,3,start,0.16666666666666666,28,0,0.4960171999409795,0.4960171999409795,3.004289000062272,False,near-rnd3,3,1,0,0.625,1.0,start,16,0
22,1,True,1.4354538000188768,800.0,50.0,33.0,0,False,2,start,0.16666666666666666,12,0,0.23239260003902018,0.23239260003902018,1.3149886999744922,False,near-000,4,1,0,0.625,0.5,start,16,0
23,1,True,1.6678683999925852,800.0,100.0,50.0,0,False,1,start,0.16666666666666666,12,0,0.2321849000873044,0.2321849000873044,1.8630195000441745,True,near-rnd2,4,1,1,0.625,0.5,start,16,0
24,1,True,2.6120444999542087,800.0,50.0,33.0,10,False,2,start,0.16666666666666666,12,0.17307279992382973,0.235249700024724,0.40832249994855374,1.6489117000019178,False,near-160,4,1,0,0.625,0.5,start,16,0
25,2,True,2.635030600009486,800.0,33.0,50.0,0,False,3,up,0.16666666666666666,36,0,0.6100756999803707,0.6100756999803707,0.9040682999184355,True,near-rnd3,4,1,1,0.625,0.5,up,8,0
26,2,True,1.2967758999438956,800.0,800.0,50.0,0,False,0,start,0.16666666666666666,12,0,0.22796739998739213,0.22796739998739213,4.735332099953666,True,near-rndm,4,1,1,0.625,0.5,start,16,0
27,1,True,1.6806099999230355,800.0,50.0,33.0,5,False,2,start,0.16666666666666666,12,0.0873695999616757,0.23262590006925166,0.31999550003092736,1.6147046000696719,True,near-080,4,1,1,0.625,0.5,start,16,0
