trial,primeIter,primeCorrect,primeTime,primeDepth,stimDepth,extraDepth,driveFrames,nearToFar,diopters,direction,size,intensity,extraLatency,mainLatency,totalLatency,responseTime,correct,caseLabel,caseTrial,trialsAtStep,stepCorrect,expected,w,direction,stepsize,stepChange
1,4,True,0.9477159000234678,800.0,50.0,800.0,8,False,2,start,0.16666666666666666,60,0.16161329997703433,1.0148707000771537,1.176484000054188,0.038442600052803755,True,radial-check,1,1,1,0.625,0.5,start,16,0
2,2,True,1.2933578999945894,800.0,50.0,33.0,8,False,2,start,0.16666666666666666,60,0.14467209996655583,1.0126090000849217,1.1572811000514776,0.13493070006370544,True,orig-stim,1,1,1,0.625,0.5,start,16,0
3,1,True,2.325795999960974,800.0,100.0,50.0,0,False,1,start,0.16666666666666666,60,0,0.9811807000078261,0.9811807000078261,0.30549110006541014,True,near-rnd2,1,1,1,0.625,0.5,start,16,0
4,2,True,2.4852194000268355,800.0,50.0,800.0,8,False,2,start,0.16666666666666666,60,0.1503470999887213,1.010362399974838,1.1607094999635592,0.4247120999498293,True,radial-star,1,1,1,0.625,0.5,start,16,0
5,3,True,1.4596835999982432,800.0,50.0,100.0,8,False,2,start,0.16666666666666666,60,0.15006220003124326,1.010570100042969,1.1606323000742123,0.4515400000382215,True,grating-gauss,1,1,1,0.625,0.5,start,16,0
6,3,True,1.0359968000557274,800.0,50.0,50.0,8,False,2,start,0.16666666666666666,60,0.1454288000240922,1.0172538999468088,1.162682699970901,0.47476379992440343,True,grating-circ,1,1,1,0.625,0.5,start,16,0
7,1,True,3.4623891999945045,800.0,33.0,50.0,0,False,3,start,0.16666666666666666,60,0,0.9679391999961808,0.9679391999961808,0.6762014999985695,True,near-rnd3,1,1,1,0.625,0.5,start,16,0
8,3,True,1.1467825999716297,800.0,50.0,800.0,8,False,2,start,0.16666666666666666,60,0.15809679997619241,1.0181581999640912,1.1762549999402836,0.3701293000485748,True,radial-anulus,1,1,1,0.625,0.5,start,16,0
9,2,True,2.655308600049466,800.0,800.0,50.0,0,False,0,start,0.16666666666666666,60,0,0.9862129000248387,0.9862129000248387,0.5328644999535754,True,near-rndm,1,1,1,0.625,0.5,start,16,0
10,2,True,1.4721535999560729,800.0,50.0,33.0,0,False,2,start,0.16666666666666666,60,0,0.9963332999031991,0.9963332999031991,0.43382449995260686,True,near-000,1,1,1,0.625,0.5,start,16,0
11,3,True,1.7844790000235662,800.0,100.0,50.0,0,False,1,start,0.16666666666666666,44,0,0.7523747000377625,0.7523747000377625,0.501256600022316,True,near-rnd2,2,1,1,0.625,1.0,start,16,0
12,4,True,1.4638045000610873,800.0,50.0,800.0,8,False,2,start,0.16666666666666666,44,0.15956820000428706,0.7701895999489352,0.9297577999532223,0.41958340001292527,True,radial-star,2,1,1,0.625,1.0,start,16,0
13,1,True,4.368097399943508,800.0,50.0,800.0,8,False,2,start,0.16666666666666666,44,0.1373689000029117,0.733563799993135,0.8709326999960467,0.4163234999869019,True,radial-anulus,2,1,1,0.625,1.0,start,16,0
14,4,True,1.6936796999070793,800.0,33.0,50.0,0,False,3,start,0.16666666666666666,44,0,0.7369364999467507,0.7369364999467507,0.6942145000211895,True,near-rnd3,2,1,1,0.625,1.0,start,16,0
15,2,True,1.61099049996119,800.0,50.0,33.0,0,False,2,start,0.16666666666666666,44,0,0.7469625000376254,0.7469625000376254,0.5088598999427631,True,near-000,2,1,1,0.625,1.0,start,16,0
16,3,True,1.3804474999196827,800.0,50.0,100.0,8,False,2,start,0.16666666666666666,44,0.14779399998951703,0.7516197999939322,0.8994137999834493,0.42899380007293075,True,grating-gauss,2,1,1,0.625,1.0,start,16,0
17,1,True,2.724091300042346,800.0,50.0,800.0,8,False,2,start,0.16666666666666666,44,0.13581779995001853,0.7332067999523133,0.8690245999023318,0.3930815999628976,True,radial-check,2,1,1,0.625,1.0,start,16,0
18,2,True,1.8117206000024453,800.0,800.0,50.0,0,False,0,start,0.16666666666666666,44,0,0.7263702999334782,0.7263702999334782,0.526649700012058,True,near-rndm,2,1,1,0.625,1.0,start,16,0
19,1,True,2.5569685000227764,800.0,50.0,33.0,8,False,2,start,0.16666666666666666,44,0.136927800020203,0.7368892000522465,0.8738170000724494,0.49880990001838654,True,orig-stim,2,1,1,0.625,1.0,start,16,0
