trial,primeIter,primeCorrect,primeTime,primeDepth,stimDepth,extraDepth,driveFrames,nearToFar,diopters,direction,size,intensity,extraLatency,mainLatency,totalLatency,responseTime,correct,caseLabel,caseTrial,trialsAtStep,stepCorrect,expected,w,direction,stepsize,stepChange
1,4,True,1.9129403000115417,33.0,800.0,100.0,0,True,3,start,0.16666666666666666,60,0,1.0002208999940194,1.0002208999940194,0.2037698000203818,True,far-rnd3,1,1,1,0.625,0.5,start,16,0
2,3,True,1.137846499972511,33.0,100.0,800.0,0,True,2,start,0.16666666666666666,60,0,0.9982936999876983,0.9982936999876983,0.425628199998755,True,far-000,1,1,1,0.625,0.5,start,16,0
3,2,True,1.5854198999586515,33.0,100.0,800.0,10,True,2,start,0.16666666666666666,60,0.17445349995978177,1.1226007000077516,1.2970541999675333,0.38180749997263774,True,far-160,1,1,1,0.625,0.5,start,16,0
4,4,True,2.8409777999622747,33.0,33.0,100.0,0,False,0,start,0.16666666666666666,60,0,0.9914160000043921,0.9914160000043921,1.8937428999925032,True,far-rnd0,1,1,1,0.625,0.5,start,16,0
5,1,True,1.6200882999692112,33.0,100.0,800.0,5,True,2,start,0.16666666666666666,60,0.09350799996173009,1.0112490999745205,1.1047570999362506,1.9140750999795273,False,far-080,1,1,0,0.625,0.5,start,16,0
6,1,True,1.495195599971339,33.0,50.0,100.0,0,True,1,start,0.16666666666666666,60,0,0.9854319999576546,0.9854319999576546,0.2249500000034459,True,far-rnd1,1,1,1,0.625,0.5,start,16,0
7,2,True,1.9295246999827214,33.0,100.0,800.0,5,True,2,start,0.16666666666666666,60,0.09079180000117049,1.0168849999899976,1.107676799991168,0.08441389998188242,True,far-080,2,2,1,1.25,1.0,start,16,0
8,2,True,0.8453730000182986,33.0,33.0,100.0,0,False,0,start,0.16666666666666666,44,0,0.7247419999912381,0.7247419999912381,0.24615210003685206,True,far-rnd0,2,1,1,0.625,1.0,start,16,0
9,1,True,1.864220599993132,33.0,800.0,100.0,0,True,3,start,0.16666666666666666,44,0,0.7294303000089712,0.7294303000089712,1.1838206999818794,False,far-rnd3,2,1,0,0.625,1.0,start,16,0
10,2,True,1.1335529999923892,33.0,100.0,800.0,10,True,2,start,0.16666666666666666,44,0.17112650000490248,0.7519824000191875,0.92310890002409,0.9182639999780804,True,far-160,2,1,1,0.625,1.0,start,16,0
11,1,True,1.8416450999793597,33.0,50.0,100.0,0,True,1,start,0.16666666666666666,44,0,0.7356071000103839,0.7356071000103839,0.946696900005918,False,far-rnd1,2,1,0,0.625,1.0,start,16,0
12,2,True,1.0427527999854647,33.0,100.0,800.0,0,True,2,start,0.16666666666666666,44,0,0.7463184000225738,0.7463184000225738,0.46732679998967797,True,far-000,2,1,1,0.625,1.0,start,16,0
13,3,True,2.219172900018748,33.0,100.0,800.0,5,True,2,start,0.16666666666666666,44,0.08970209996914491,0.7612344999797642,0.8509365999489091,0.26426009996794164,True,far-080,3,1,1,0.625,1.0,start,16,0
14,2,True,1.2139863999909721,33.0,100.0,800.0,10,True,2,start,0.16666666666666666,28,0.17871470004320145,0.5007169999880716,0.6794317000312731,1.2536675000446849,False,far-160,3,1,0,0.625,1.0,start,16,0
15,2,True,2.0053006999660283,33.0,50.0,100.0,0,True,1,start,0.16666666666666666,44,0,0.7367864999687299,0.7367864999687299,0.36788269999669865,True,far-rnd1,3,2,1,1.25,1.0,start,16,0
16,2,True,2.770487600006163,33.0,100.0,800.0,0,True,2,start,0.16666666666666666,28,0,0.48793489998206496,0.48793489998206496,0.8623404999962077,True,far-000,3,1,1,0.625,1.0,start,16,0
17,1,True,2.088536600000225,33.0,33.0,100.0,0,False,0,start,0.16666666666666666,28,0,0.4608697000076063,0.4608697000076063,0.5948411999852397,True,far-rnd0,3,1,1,0.625,1.0,start,16,0
18,3,True,1.4231789000332355,33.0,800.0,100.0,0,True,3,start,0.16666666666666666,44,0,0.7401576000265777,0.7401576000265777,0.9853061000467278,True,far-rnd3,3,2,1,1.25,1.0,start,16,0
19,4,True,1.0032602000283077,33.0,100.0,800.0,5,True,2,start,0.16666666666666666,28,0.09889130003284663,0.4993709000409581,0.5982622000738047,1.130640899995342,False,far-080,4,1,0,0.625,0.5,start,16,0
20,1,True,1.5074547000112943,33.0,800.0,100.0,0,True,3,start,0.16666666666666666,28,0,0.47737699997378513,0.47737699997378513,1.2068676999770105,True,far-rnd3,4,1,1,0.625,0.5,start,16,0
21,1,True,3.149520900042262,33.0,100.0,800.0,0,True,2,start,0.16666666666666666,12,0,0.2293109000311233,0.2293109000311233,1.7288042000145651,False,far-000,4,1,0,0.625,0.5,start,16,0
22,2,True,1.2718406000058167,33.0,50.0,100.0,0,True,1,start,0.16666666666666666,28,0,0.47770330001367256,0.47770330001367256,1.421079899999313,False,far-rnd1,4,1,0,0.625,0.5,start,16,0
23,3,True,1.4285900000249967,33.0,33.0,100.0,0,False,0,start,0.16666666666666666,12,0,0.22000579995801672,0.22000579995801672,0.8256932999938726,True,far-rnd0,4,1,1,0.625,0.5,start,16,0
24,3,True,0.84349589998601,33.0,100.0,800.0,10,True,2,up,0.16666666666666666,36,0.1765021999599412,0.6281192000024021,0.8046213999623433,1.2418935999739915,False,far-160,4,1,0,0.625,0.5,up,8,0
25,1,True,1.77726740000071,33.0,50.0,100.0,0,True,1,up,0.16666666666666666,36,0,0.5992504000314511,0.5992504000314511,0.6802563000237569,True,far-rnd1,5,1,1,0.625,0.5,up,8,0
26,2,True,1.0297612000140361,33.0,800.0,100.0,0,True,3,start,0.16666666666666666,12,0,0.22417020000284538,0.22417020000284538,2.20345010003075,False,far-rnd3,5,1,0,0.625,0.5,start,16,0
27,3,True,1.0623331000097096,33.0,100.0,800.0,10,True,2,up,0.16666666666666666,36,0.17952429997967556,0.6381620999891311,0.8176863999688067,0.776542600011453,False,far-160,5,2,0,1.25,1,up,8,0
28,2,True,1.9015152999782003,33.0,100.0,800.0,0,True,2,up,0.16666666666666666,20,0,0.3527987000416033,0.3527987000416033,1.1885270000202581,True,far-000,5,1,1,0.625,0.5,up,8,0
29,2,True,0.9597232000087388,33.0,100.0,800.0,5,True,2,up,0.16666666666666666,36,0.09471540001686662,0.6339841999579221,0.7286995999747887,0.5884106999728829,True,far-080,5,1,1,0.625,0.5,up,8,0
30,1,True,1.4290704000159167,33.0,33.0,100.0,0,False,0,start,0.16666666666666666,0,0,0.013459299982059747,0.013459299982059747,4.188552300038282,False,far-rnd0,5,1,0,0.625,0.5,start,16,0
31,3,True,0.8805878999992274,33.0,50.0,100.0,0,True,1,up,0.16666666666666666,36,0,0.6181295000133105,0.6181295000133105,0.6045380999566987,True,far-rnd1,6,2,2,1.25,1,up,8,0
32,4,True,1.0605360000045039,33.0,100.0,800.0,5,True,2,up,0.16666666666666666,36,0.09428249998018146,0.6407941000070423,0.7350765999872237,1.2108028999646194,False,far-080,6,2,1,1.25,1,up,8,0
33,2,True,1.3700618000002578,33.0,100.0,800.0,0,True,2,up,0.16666666666666666,20,0,0.35777979996055365,0.35777979996055365,1.2432278999476694,True,far-000,6,2,2,1.25,1,up,8,0
34,2,True,1.0729416999965906,33.0,800.0,100.0,0,True,3,up,0.16666666666666666,20,0,0.34756090003065765,0.34756090003065765,1.4498764000018127,False,far-rnd3,6,1,0,0.625,0.5,up,8,0
35,3,True,1.0933786000241525,33.0,33.0,100.0,0,False,0,up,0.16666666666666666,8,0,0.15049430000362918,0.15049430000362918,1.0473495000042021,False,far-rnd0,6,1,0,0.625,0.5,up,8,0
36,2,True,0.9163733000168577,33.0,100.0,800.0,10,True,2,up,0.16666666666666666,44,0.1747855999856256,0.7495667000184767,0.9243523000041023,0.42530709999846295,False,far-160,6,1,0,0.625,1,up,8,0
